종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","81500","-100","-0.12","4.86537278E8"
"000660","SK하이닉스","236500","0","0.00","1.72172559E8"
"373220","LG에너지솔루션","326500","-1500","-0.46","7.6401E7"
"005380","현대차","295000","-3000","-1.01","6.1777776E7"
"000270","기아","129300","-2200","-1.67","5.1701693E7"
"207940","삼성바이오로직스","727000","-5000","-0.68","5.1743498E7"
"068270","셀트리온","174300","500","0.29","3.7821919E7"
"105560","KB금융","78500","0","0.00","3.1675619E7"
"005490","POSCO홀딩스","363000","3500","0.97","3.0699356E7"
"035420","NAVER","166900","1500","0.91","2.7105994E7"
"028260","삼성물산","142000","3300","2.38","2.5245343E7"
"055550","신한지주","48150","1000","2.12","2.4527283E7"
"051910","LG화학","345500","1500","0.44","2.4389655E7"
"006400","삼성SDI","354000","-7000","-1.94","2.4342644E7"
"012330","현대모비스","251500","1000","0.40","2.3388266E7"
"003670","포스코퓨처엠","258500","4000","1.57","2.0024242E7"
"000810","삼성화재","389000","12000","3.18","1.8428812E7"
"066570","LG전자","110900","1700","1.56","1.8148543E7"
"035720","카카오","40650","250","0.62","1.8024018E7"
"032830","삼성생명","88500","2000","2.31","1.77E7"
"086790","하나금융지주","60700","300","0.50","1.7746045E7"
"042700","한미반도체","172300","-1400","-0.81","1.6712003E7"
"138040","메리츠금융지주","79100","3200","4.22","1.5085961E7"
"011200","HMM","19630","620","3.26","1.3918445E7"
"329180","HD현대중공업","155700","-700","-0.45","1.3821974E7"
"402340","SK스퀘어","100000","-2200","-2.15","1.3474996E7"
"259960","크래프톤","281500","0","0.00","1.3480825E7"
"034020","두산에너빌리티","20100","210","1.06","1.2875279E7"
"003550","LG","80600","1200","1.51","1.267846E7"
"015760","한국전력","19570","270","1.40","1.2563237E7"
"012450","한화에어로스페이스","249500","14500","6.17","1.2632185E7"
"009150","삼성전기","158000","3500","2.27","1.1801604E7"
"034730","SK","158300","6200","4.08","1.1477178E7"
"047050","포스코인터내셔널","65400","-2000","-2.97","1.150535E7"
"033780","KT&G","88200","2300","2.68","1.1494444E7"
"018260","삼성에스디에스","148500","5000","3.48","1.1490603E7"
"267260","HD현대일렉트릭","310000","-9000","-2.82","1.1174612E7"
"024110","기업은행","14020","310","2.26","1.1179911E7"
"009540","HD한국조선해양","158800","1300","0.83","1.1238771E7"
"096770","SK이노베이션","116100","7000","6.42","1.1114902E7"
"017670","SK텔레콤","51500","100","0.19","1.1061688E7"
"316140","우리금융지주","14690","240","1.66","1.0908669E7"
"010130","고려아연","515000","-3000","-0.58","1.0662191E7"
"090430","아모레퍼시픽","167300","-8700","-4.94","9785839.0"
"323410","카카오뱅크","20300","50","0.25","9681601.0"
"042660","한화오션","30550","800","2.69","9359264.0"
"030200","KT","37400","950","2.61","9425611.0"
"003490","대한항공","23250","-350","-1.48","8561130.0"
"352820","하이브","202500","4000","2.02","8434550.0"
"086280","현대글로비스","219000","-10500","-4.58","8212500.0"
"010140","삼성중공업","9350","-80","-0.85","8228000.0"
"005830","DB손해보험","114500","4200","3.81","8106600.0"
"010950","S-Oil","66500","200","0.30","7486756.0"
"010120","LS ELECTRIC","220500","4000","1.85","6615000.0"
"000100","유한양행","80900","1600","2.02","6488913.0"
"011790","SKC","168600","10600","6.71","6384595.0"
"011070","LG이노텍","272000","0","0.00","6437453.0"
"450080","에코프로머티","90900","-200","-0.22","6278517.0"
"326030","SK바이오팜","77500","1800","2.38","6069277.0"
"034220","LG디스플레이","11470","720","6.70","5735000.0"
"022100","포스코DX","38350","700","1.86","5830532.0"
"267250","HD현대","74500","1200","1.64","5884985.0"
"097950","CJ제일제당","385500","9500","2.53","5803389.0"
"161390","한국타이어앤테크놀로지","45200","400","0.89","5599153.0"
"051900","LG생활건강","345500","-6000","-1.71","5396087.0"
"454910","두산로보틱스","79900","-100","-0.13","5179116.0"
"241560","두산밥캣","51300","500","0.98","5142782.0"
"047810","한국항공우주","53000","1400","2.71","5166181.0"
"003230","삼양식품","669000","7000","1.06","5039587.0"
"001570","금양","86000","6700","8.45","4992303.0"
"036460","한국가스공사","52200","-900","-1.69","4818739.0"
"066970","엘앤에프","135300","-800","-0.59","4910678.0"
"079550","LIG넥스원","220000","19500","9.73","4840000.0"
"028050","삼성E&A","24150","1100","4.77","4733400.0"
"011170","롯데케미칼","114700","2700","2.41","4906341.0"
"021240","코웨이","64200","400","0.63","4737936.0"
"009830","한화솔루션","27600","-600","-2.13","4744234.0"
"251270","넷마블","53700","800","1.51","4615703.0"
"006260","LS","143900","-1900","-1.30","4633580.0"
"005070","코스모신소재","144200","3400","2.41","4688051.0"
"064350","현대로템","40800","1200","3.03","4453006.0"
"029780","삼성카드","38300","950","2.54","4437396.0"
"006800","미래에셋증권","7320","210","2.95","4357716.0"
"078930","GS","46900","650","1.41","4357731.0"
"032640","LG유플러스","9820","140","1.45","4287524.0"
"005940","NH투자증권","12690","210","1.68","4155877.0"
"180640","한진칼","64600","500","0.78","4312843.0"
"036570","엔씨소프트","179900","-1100","-0.61","3949529.0"
"011780","금호석유","146500","1200","0.83","4054047.0"
"302440","SK바이오사이언스","52600","-700","-1.31","4041140.0"
"071050","한국금융지주","70000","2700","4.01","3900819.0"
"010620","HD현대미포","93000","-100","-0.11","3714620.0"
"004020","현대제철","29050","350","1.22","3876600.0"
"377300","카카오페이","26900","550","2.09","3619557.0"
"271560","오리온","92200","600","0.66","3645231.0"
"272210","한화시스템","18860","490","2.67","3563020.0"
"016360","삼성증권","39800","1350","3.51","3554140.0"
"000720","현대건설","32050","350","1.10","3568952.0"
"001040","CJ","121500","300","0.25","3545005.0"
"000150","두산","217000","16500","8.23","3585672.0"
"128940","한미약품","270500","500","0.19","3465373.0"
"361610","SK아이이테크놀로지","44100","250","0.57","3144224.0"
"039490","키움증권","125900","4300","3.54","3213812.0"
"035250","강원랜드","13880","120","0.87","2969494.0"
"004370","농심","489000","2500","0.51","2974412.0"
