종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1598000","-2000","-0.13","2.26387601E8"
"015760","한국전력","54000","-1600","-2.88","3.466606E7"
"005380","현대차","135500","-4000","-2.87","2.9847463E7"
"000660","SK하이닉스","40200","0","0.00","2.9265695E7"
"035420","NAVER","883000","-17000","-1.89","2.9106046E7"
"028260","삼성물산","149000","500","0.34","2.8263816E7"
"012330","현대모비스","275000","-7000","-2.48","2.6769562E7"
"090430","아모레퍼시픽","389000","-1000","-0.26","2.2740353E7"
"032830","삼성생명","105500","0","0.00","2.11E7"
"005490","POSCO","227000","-3000","-1.30","1.9791412E7"
"055550","신한지주","40150","-450","-1.11","1.9039113E7"
"017670","SK텔레콤","226000","0","0.00","1.8248531E7"
"033780","KT&G","125000","-1500","-1.19","1.7161562E7"
"000270","기아차","42150","-800","-1.86","1.7086065E7"
"051910","LG화학","241500","-2500","-1.02","1.6004471E7"
"096770","SK이노베이션","161500","0","0.00","1.4933189E7"
"051900","LG생활건강","955000","5000","0.53","1.4915378E7"
"034730","SK","212000","1000","0.47","1.4916383E7"
"105560","KB금융","37850","-150","-0.39","1.4623412E7"
"000810","삼성화재","279500","-4000","-1.41","1.3241267E7"
"002790","아모레G","165500","2000","1.22","1.3205407E7"
"018260","삼성에스디에스","154000","-3500","-2.22","1.1916181E7"
"003550","LG","64700","400","0.62","1.1164446E7"
"009540","현대중공업","138000","-2000","-1.43","1.0488E7"
"011170","롯데케미칼","298000","-3000","-1.00","1.0214075E7"
"034220","LG디스플레이","28100","-350","-1.23","1.0054621E7"
"010950","S-Oil","81200","700","0.87","9141723.0"
"010130","고려아연","481000","-7500","-1.54","9076470.0"
"035250","강원랜드","39300","-650","-1.63","8407862.0"
"030200","KT","31900","0","0.00","8329467.0"
"086790","하나금융지주","27850","-550","-1.94","8243685.0"
"066570","LG전자","47900","-900","-1.84","7838730.0"
"000030","우리은행","11400","-350","-2.98","7706400.0"
"047810","한국항공우주","76300","-1200","-1.55","7437351.0"
"161390","한국타이어","59400","-900","-1.49","7358179.0"
"021240","코웨이","95400","-1500","-1.55","7357706.0"
"086280","현대글로비스","181000","-5000","-2.69","6787500.0"
"004020","현대제철","50800","-400","-0.78","6779046.0"
"006400","삼성SDI","96000","-2000","-2.04","6601395.0"
"024110","기업은행","11950","-200","-1.65","6691747.0"
"018880","한온시스템","12400","-500","-3.88","6619120.0"
"008930","한미사이언스","114000","-25500","-18.28","6645095.0"
"023530","롯데쇼핑","206500","-3000","-1.43","6502869.0"
"036570","엔씨소프트","295500","1500","0.51","6480026.0"
"029780","삼성카드","50100","-1800","-3.47","5804530.0"
"001040","CJ","186000","-2500","-1.33","5426364.0"
"128940","한미약품","508000","-112000","-18.06","5301036.0"
"032640","LG유플러스","11750","0","0.00","5130183.0"
"001800","오리온","827000","3000","0.36","4968863.0"
"088350","한화생명","5760","-30","-0.52","5002733.0"
"078930","GS","53500","0","0.00","4970973.0"
"005830","동부화재","68200","-1300","-1.87","4828560.0"
"000120","CJ대한통운","215500","-1500","-0.69","4916060.0"
"097950","CJ제일제당","363000","-4500","-1.22","4777769.0"
"027410","BGF리테일","193000","1500","0.78","4781375.0"
"004800","효성","130000","-2000","-1.52","4565269.0"
"139480","이마트","157500","500","0.32","4390441.0"
"000720","현대건설","39250","-750","-1.88","4370714.0"
"002380","KCC","395500","1500","0.38","4175101.0"
"036460","한국가스공사","44200","-550","-1.23","4080235.0"
"009240","한샘","176000","2500","1.44","4141971.0"
"009830","한화케미칼","24200","200","0.83","3988386.0"
"012750","에스원","101500","-1500","-1.46","3856917.0"
"012630","현대산업","51300","-600","-1.16","3867208.0"
"007070","GS리테일","49200","-700","-1.40","3788400.0"
"009150","삼성전기","48900","-450","-0.91","3652522.0"
"012450","한화테크윈","63600","500","0.79","3379068.0"
"000100","유한양행","277500","-10000","-3.48","3094832.0"
"000210","대림산업","82900","-500","-0.60","2884920.0"
"005940","NH투자증권","9970","-80","-0.80","2805647.0"
"034020","두산중공업","25850","400","1.57","2744191.0"
"138930","BNK금융지주","8580","-40","-0.46","2796524.0"
"069960","현대백화점","118500","-1000","-0.84","2773189.0"
"047050","포스코대우","24500","-950","-3.73","2789969.0"
"000880","한화","35050","50","0.14","2627304.0"
"047040","대우건설","6360","-80","-1.24","2643360.0"
"016360","삼성증권","34600","-400","-1.14","2644657.0"
"003490","대한항공","34950","-500","-1.41","2545749.0"
"004990","롯데제과","176000","-4000","-2.22","2501664.0"
"051600","한전KPS","57800","-600","-1.03","2601000.0"
"007310","오뚜기","750000","-5000","-0.66","2580000.0"
"037620","미래에셋증권","22750","-300","-1.30","2600004.0"
"006800","미래에셋대우","7810","-90","-1.14","2551534.0"
"008770","호텔신라","60500","-2200","-3.51","2374511.0"
"204320","만도","247000","-38000","-13.33","2319682.0"
"011210","현대위아","86600","-1800","-2.04","2355094.0"
"003520","영진약품","12400","-750","-5.70","2202488.0"
"071050","한국금융지주","40750","-650","-1.57","2270834.0"
"010140","삼성중공업","9370","170","1.85","2163302.0"
"010060","OCI","93500","-2100","-2.20","2229916.0"
"000150","두산","101000","-2000","-1.94","2148360.0"
"000240","한국타이어월드와이드","22950","-500","-2.13","2134813.0"
"120110","코오롱인더","82900","-900","-1.07","2083615.0"
"011780","금호석유","69900","-700","-0.99","2129692.0"
"028050","삼성엔지니어링","10800","-50","-0.46","2116800.0"
"006280","녹십자","181500","-5000","-2.68","2121107.0"
"000670","영풍","1055000","-1000","-0.09","1943352.0"
"161890","한국콜마","96300","100","0.10","2031945.0"
"005300","롯데칠성","1600000","-9000","-0.56","1979525.0"
"004370","농심","314000","-7500","-2.33","1909950.0"
"030000","제일기획","16000","-200","-1.23","1840660.0"
"011070","LG이노텍","78300","-800","-1.01","1853134.0"
"006260","LS","58200","-1200","-2.02","1874040.0"
"004170","신세계","181500","-4500","-2.42","1786900.0"
"073240","금호타이어","11300","100","0.89","1785323.0"
"064350","현대로템","20600","-350","-1.67","1751000.0"
"001060","JW중외제약","87100","-6800","-7.24","1632487.0"
"001740","SK네트웍스","6690","-100","-1.47","1660375.0"
"003450","현대증권","7150","-20","-0.28","1691780.0"
"005610","삼립식품","198000","-5000","-2.46","1708544.0"
"111770","영원무역","37050","-900","-2.37","1641740.0"
"010780","아이에스동서","55400","-100","-0.18","1675703.0"
"017800","현대엘리베이","67900","400","0.59","1672548.0"
"042670","두산인프라코어","7890","-100","-1.25","1636822.0"
"006120","SK케미칼","67600","-400","-0.59","1642900.0"
"000080","하이트진로","22550","-200","-0.88","1581513.0"
"114090","GKL","24650","-300","-1.20","1524742.0"
"005440","현대그린푸드","16100","-600","-3.59","1573042.0"
"002620","제일약품","104500","1500","1.46","1551825.0"
"002350","넥센타이어","14800","100","0.68","1426955.0"
"003410","쌍용양회","16300","-50","-0.31","1425906.0"
"006650","대한유화","213500","-4000","-1.84","1387750.0"
"192400","쿠쿠전자","142500","-3500","-2.40","1396979.0"
"014820","동원시스템즈","59400","-100","-0.17","1430326.0"
"057050","현대홈쇼핑","122000","-1500","-1.21","1464000.0"
"010620","현대미포조선","74200","-900","-1.20","1484000.0"
"192820","코스맥스","151500","4500","3.06","1363426.0"
"001120","LG상사","34900","-1000","-2.79","1352724.0"
"042660","대우조선해양","4480","0","0.00","1224901.0"
"010120","LS산전","42000","-50","-0.12","1260000.0"
"000070","삼양홀딩스","135500","500","0.37","1160459.0"
"003000","부광약품","28950","-1550","-5.08","1081240.0"
"105630","한세실업","26800","-1100","-3.94","1072000.0"
"011790","SKC","28300","-300","-1.05","1062228.0"
"052690","한전기술","29150","-1100","-3.64","1114113.0"
"003620","쌍용차","7880","-20","-0.25","1081294.0"
"001680","대상","29500","0","0.00","1015141.0"
"009420","한올바이오파마","18400","-950","-4.91","961228.0"
"014680","한솔케미칼","87300","400","0.46","986071.0"
