종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","52800","400","0.76","3.15204519E8"
"000660","SK하이닉스","85100","1500","1.79","6.1953001E7"
"207940","삼성바이오로직스","775000","-9000","-1.15","5.1277875E7"
"035420","NAVER","267000","3000","1.14","4.3858326E7"
"068270","셀트리온","306000","-5000","-1.61","4.1291452E7"
"051910","LG화학","490500","1000","0.20","3.4625544E7"
"006400","삼성SDI","363500","500","0.14","2.4995907E7"
"035720","카카오","267500","0","0.00","2.3486502E7"
"028260","삼성물산","116000","-500","-0.43","2.1678901E7"
"051900","LG생활건강","1346000","46000","3.54","2.1022093E7"
"005380","현대차","97700","0","0.00","2.0875382E7"
"034730","SK","291000","-2000","-0.68","2.0474846E7"
"036570","엔씨소프트","891000","1000","0.11","1.9561034E7"
"012330","현대모비스","192000","0","0.00","1.8250501E7"
"017670","SK텔레콤","211000","4000","1.93","1.7037345E7"
"005490","POSCO","174000","-1500","-0.85","1.5170509E7"
"105560","KB금융","33950","50","0.15","1.4116679E7"
"055550","신한지주","28750","-250","-0.86","1.3725159E7"
"018260","삼성에스디에스","168500","-500","-0.30","1.3038159E7"
"000270","기아차","32050","-50","-0.16","1.2991895E7"
"015760","한국전력","19500","450","2.36","1.25183E7"
"003550","LG","71200","-200","-0.28","1.2286068E7"
"096770","SK이노베이션","131000","1000","0.77","1.2112989E7"
"033780","KT&G","78200","500","0.64","1.0736273E7"
"066570","LG전자","63200","-300","-0.47","1.0342542E7"
"090430","아모레퍼시픽","167500","14500","9.48","9791797.0"
"009150","삼성전기","129000","1000","0.78","9635487.0"
"032830","삼성생명","44700","300","0.68","8940000.0"
"251270","넷마블","100500","5300","5.57","8622708.0"
"000810","삼성화재","176000","0","0.00","8337971.0"
"086790","하나금융지주","27000","200","0.75","8106536.0"
"010950","S-Oil","63500","900","1.44","7149007.0"
"010130","고려아연","335000","500","0.15","6321450.0"
"316140","우리금융지주","8810","120","1.38","6363178.0"
"009540","한국조선해양","87400","-200","-0.23","6185570.0"
"030200","KT","23550","300","1.29","6149183.0"
"011170","롯데케미칼","167000","1000","0.60","5723995.0"
"271560","오리온","134000","-5000","-3.60","5297842.0"
"032640","LG유플러스","12200","100","0.83","5326659.0"
"024110","기업은행","8080","60","0.75","5365600.0"
"021240","코웨이","72200","1100","1.55","5328332.0"
"097950","CJ제일제당","326000","-2500","-0.76","4907665.0"
"018880","한온시스템","9060","10","0.11","4836228.0"
"180640","한진칼","80200","-400","-0.50","4745471.0"
"003670","포스코케미칼","75100","-1200","-1.57","4580215.0"
"035250","강원랜드","21500","50","0.23","4599721.0"
"006800","미래에셋대우","6670","220","3.41","4304260.0"
"002790","아모레G","51600","4500","9.55","4254842.0"
"011070","LG이노텍","174500","3000","1.75","4129910.0"
"034220","LG디스플레이","11350","100","0.89","4061208.0"
"086280","현대글로비스","101500","-500","-0.49","3806250.0"
"267250","현대중공업지주","246000","4500","1.86","3886460.0"
"010140","삼성중공업","5950","40","0.68","3748500.0"
"000720","현대건설","33050","450","1.38","3680308.0"
"000120","CJ대한통운","157500","1000","0.64","3592944.0"
"078930","GS","36250","0","0.00","3368182.0"
"004990","롯데지주","31600","100","0.32","3315132.0"
"000100","유한양행","50600","100","0.20","3382955.0"
"029780","삼성카드","27350","200","0.74","3168741.0"
"012750","에스원","85800","100","0.12","3260329.0"
"161390","한국타이어앤테크놀로지","24650","1000","4.23","3053520.0"
"009830","한화솔루션","19250","200","1.05","3077392.0"
"005830","DB손해보험","42850","1550","3.75","3033780.0"
"000080","하이트진로","43800","250","0.57","3071852.0"
"139480","이마트","105500","1000","0.96","2940899.0"
"042660","대우조선해양","27050","150","0.56","2899916.0"
"128940","한미약품","243500","-1500","-0.61","2883778.0"
"008770","호텔신라","71000","5000","7.58","2786617.0"
"007070","GS리테일","36450","-450","-1.22","2806650.0"
"000210","대림산업","82300","1800","2.24","2864040.0"
"004020","현대제철","20500","450","2.24","2735639.0"
"003410","쌍용양회","5100","-10","-0.20","2569684.0"
"241560","두산밥캣","26300","1050","4.16","2636553.0"
"036460","한국가스공사","26200","250","0.96","2418601.0"
"001040","CJ","86300","2000","2.37","2517975.0"
"071050","한국금융지주","44500","-100","-0.22","2479807.0"
"282330","BGF리테일","139000","1500","1.09","2402463.0"
"011790","SKC","61000","-200","-0.33","2289608.0"
"005940","NH투자증권","8270","70","0.85","2327251.0"
"028050","삼성엔지니어링","12250","550","4.70","2401000.0"
"047810","한국항공우주","23750","250","1.06","2315034.0"
"016360","삼성증권","26350","250","0.96","2353055.0"
"011780","금호석유","74500","2700","3.76","2269843.0"
"020150","일진머티리얼즈","49600","-500","-1.00","2287097.0"
"023530","롯데쇼핑","79500","3400","4.47","2248956.0"
"008930","한미사이언스","33300","-600","-1.77","2198171.0"
"004170","신세계","220500","14000","6.78","2170862.0"
"004370","농심","365500","-5000","-1.35","2223206.0"
"003000","부광약품","33900","-300","-0.88","2198007.0"
"028670","팬오션","3820","30","0.79","2042054.0"
"008560","메리츠증권","3030","20","0.66","2048164.0"
"001450","현대해상","22900","200","0.88","2047260.0"
"081660","휠라홀딩스","35100","850","2.48","2132403.0"
"006360","GS건설","24550","200","0.82","1966401.0"
"009240","한샘","86200","1700","2.01","2028625.0"
"007310","오뚜기","557000","6000","1.09","2008117.0"
"030000","제일기획","16400","100","0.61","1886676.0"
"017800","현대엘리베이","69200","1300","1.91","1882194.0"
"006280","녹십자","148000","-2000","-1.33","1729608.0"
"047050","포스코인터내셔널","13950","-50","-0.36","1721083.0"
"026960","동서","15850","100","0.63","1580245.0"
"003490","대한항공","17350","-100","-0.57","1645554.0"
"000880","한화","22150","700","3.26","1660336.0"
"138930","BNK금융지주","5000","70","1.42","1629676.0"
"192080","더블유게임즈","79800","4100","5.42","1466285.0"
"285130","SK케미칼","128500","-6000","-4.46","1508769.0"
"011200","HMM","4685","-35","-0.74","1483047.0"
"014680","한솔케미칼","127000","-2000","-1.55","1434490.0"
"010120","LS ELECTRIC","47900","400","0.84","1437000.0"
"047040","대우건설","3430","115","3.47","1425586.0"
"069620","대웅제약","132500","-6500","-4.68","1535221.0"
"009420","한올바이오파마","28100","-1050","-3.60","1467962.0"
"042670","두산인프라코어","7250","460","6.77","1517785.0"
"294870","HDC현대산업개발","21100","400","1.93","1390645.0"
"051600","한전KPS","29050","50","0.17","1307250.0"
"007700","F&F","92100","7100","8.35","1418340.0"
"069960","현대백화점","56300","1700","3.11","1317557.0"
"004800","효성","62800","100","0.16","1323260.0"
"064350","현대로템","15350","200","1.32","1304750.0"
"185750","종근당","108500","-2500","-2.25","1181097.0"
"012450","한화에어로스페이스","24600","0","0.00","1245498.0"
"016380","KG동부제철","11750","-200","-1.67","1175105.0"
"034020","두산중공업","4835","195","4.20","1223936.0"
"088350","한화생명","1360","35","2.64","1181201.0"
"010620","현대미포조선","31300","-100","-0.32","1250189.0"
"000990","DB하이텍","28850","100","0.35","1280899.0"
"001740","SK네트웍스","4745","-35","-0.73","1177650.0"
"002380","KCC","133000","0","0.00","1181901.0"
"007570","일양약품","64000","200","0.31","1221482.0"
"009410","태영건설","15600","-50","-0.32","1191840.0"
"000240","한국테크놀로지그룹","12950","700","5.71","1204611.0"
"031430","신세계인터내셔날","157000","7500","5.02","1120980.0"
"006260","LS","34800","700","2.05","1120560.0"
"005250","녹십자홀딩스","24000","50","0.21","1128677.0"
"111770","영원무역","25400","-150","-0.59","1125511.0"
"161890","한국콜마","42600","2800","7.04","974738.0"
"192820","코스맥스","97800","2900","3.06","982842.0"
"204320","만도","22350","150","0.68","1049492.0"
"011210","현대위아","34550","-100","-0.29","939590.0"
"003520","영진약품","5520","-70","-1.25","1009568.0"
"214320","이노션","44700","0","0.00","894000.0"
"010060","OCI","37000","1050","2.92","882427.0"
"005300","롯데칠성","102000","1000","0.99","815333.0"
"004000","롯데정밀화학","34450","0","0.00","888810.0"
"001800","오리온홀딩스","13300","0","0.00","833184.0"
"001680","대상","25850","250","0.98","895651.0"
"000670","영풍","462500","4000","0.87","851944.0"
"120110","코오롱인더","32100","750","2.39","866021.0"
"073240","금호타이어","3015","20","0.67","866090.0"
"071840","롯데하이마트","38500","400","1.05","908897.0"
"032350","롯데관광개발","13350","1000","8.10","924830.0"
"020560","아시아나항공","3840","50","1.32","857224.0"
"020000","한섬","35000","1900","5.74","862050.0"
"010780","아이에스동서","28150","50","0.18","869627.0"
"114090","GKL","12850","450","3.63","794845.0"
"093370","후성","8060","70","0.88","746411.0"
"003240","태광산업","696000","3000","0.43","774926.0"
"005440","현대그린푸드","7730","300","4.04","755256.0"
"057050","현대홈쇼핑","64000","200","0.31","768000.0"
"049770","동원F&B","179000","3500","1.99","690783.0"
"170900","동아에스티","86800","400","0.46","732928.0"
"001060","JW중외제약","36250","950","2.69","758352.0"
"006120","SK디스커버리","39050","2050","5.54","743428.0"
"284740","쿠쿠홈시스","33600","450","1.36","753894.0"
"241590","화승엔터프라이즈","11400","300","2.70","690118.0"
"003850","보령제약","16850","550","3.37","802397.0"
"006650","대한유화","113000","1500","1.35","734500.0"
"000150","두산","38000","450","1.20","627906.0"
"000640","동아쏘시오홀딩스","95200","-1100","-1.14","584366.0"
"001120","LG상사","15550","850","5.78","602718.0"
"005180","빙그레","60100","1100","1.86","592060.0"
"018250","애경산업","23500","1400","6.33","620633.0"
"052690","한전기술","15000","150","1.01","573300.0"
"069260","휴켐스","15900","0","0.00","649970.0"
"079550","LIG넥스원","30000","350","1.18","660000.0"
"103140","풍산","21850","1150","5.56","612330.0"
"108670","LG하우시스","64300","-1200","-1.83","576621.0"
"115390","락앤락","11200","650","6.16","606890.0"
"192400","쿠쿠홀딩스","78800","1600","2.07","560460.0"
"000070","삼양홀딩스","57000","1200","2.15","488163.0"
"001230","동국제강","5300","-20","-0.38","505794.0"
"064960","S&T모티브","37900","-100","-0.26","554217.0"
"014820","동원시스템즈","21050","400","1.94","539270.0"
"012630","HDC","8470","20","0.24","506012.0"
"006390","한일현대시멘트","27900","500","1.82","469314.0"
"005610","SPC삼립","62500","800","1.30","539313.0"
"002350","넥센타이어","5330","80","1.52","520570.0"
"001430","세아베스틸","10150","50","0.50","364001.0"
"079160","CJ CGV","20450","350","1.74","432749.0"
"093050","LF","12350","350","2.92","361114.0"
"014830","유니드","41950","1200","2.94","372929.0"
"019680","대교","4280","35","0.82","362528.0"
"105630","한세실업","10550","350","3.43","422000.0"
"145990","삼양사","39850","1050","2.71","410991.0"
"004490","세방전지","30450","1050","3.57","426300.0"
"027410","BGF","4240","140","3.41","405839.0"
"002270","롯데푸드","350000","-3500","-0.99","396155.0"
"025860","남해화학","7320","60","0.83","363649.0"
"002240","고려제강","15250","-100","-0.65","305000.0"
"060980","한라홀딩스","26700","0","0.00","279604.0"
