종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","47750","-100","-0.21","2.85057117E8"
"000660","SK하이닉스","83300","-400","-0.48","6.0642597E7"
"207940","삼성바이오로직스","482000","32000","7.11","3.189153E7"
"068270","셀트리온","229000","44000","23.78","2.9391376E7"
"035420","NAVER","170000","7500","4.62","2.7924777E7"
"051910","LG화학","305000","2000","0.66","2.1530665E7"
"005380","현대차","88700","3300","3.86","1.8952368E7"
"051900","LG생활건강","1120000","20000","1.82","1.7492381E7"
"028260","삼성물산","89600","1300","1.47","1.6996228E7"
"006400","삼성SDI","240500","-4000","-1.64","1.6537869E7"
"012330","현대모비스","169500","5000","3.04","1.6111771E7"
"105560","KB금융","34550","-200","-0.58","1.4366164E7"
"017670","SK텔레콤","177000","1000","0.57","1.4291991E7"
"036570","엔씨소프트","652000","28000","4.49","1.4314022E7"
"005490","POSCO","161000","1000","0.63","1.403708E7"
"055550","신한지주","28600","1100","4.00","1.3797569E7"
"035720","카카오","155500","2500","1.63","1.3508986E7"
"015760","한국전력","19250","300","1.58","1.2357808E7"
"034730","SK","167500","7500","4.69","1.178535E7"
"018260","삼성에스디에스","149500","-2000","-1.32","1.1567981E7"
"000270","기아차","26000","1050","4.21","1.0539447E7"
"033780","KT&G","74700","1300","1.77","1.025575E7"
"003550","LG","59000","100","0.17","1.0180871E7"
"090430","아모레퍼시픽","168500","-500","-0.30","9850256.0"
"032830","삼성생명","43000","1400","3.37","8600000.0"
"096770","SK이노베이션","87000","900","1.05","8044504.0"
"251270","넷마블","93200","-300","-0.32","7995561.0"
"066570","LG전자","48200","-300","-0.62","7887825.0"
"009150","삼성전기","97700","-600","-0.61","7297574.0"
"000810","삼성화재","154000","7500","5.12","7295725.0"
"086790","하나금융지주","23100","100","0.43","6935592.0"
"010130","고려아연","356000","-4000","-1.11","6717720.0"
"011170","롯데케미칼","193000","12000","6.63","6615156.0"
"010950","S-Oil","57100","1500","2.70","6428477.0"
"009540","한국조선해양","78600","2300","3.01","5562767.0"
"316140","우리금융지주","7650","160","2.14","5525348.0"
"030200","KT","19850","150","0.76","5183069.0"
"032640","LG유플러스","10800","350","3.35","4715403.0"
"018880","한온시스템","8870","240","2.78","4734806.0"
"271560","오리온","115000","6000","5.50","4546655.0"
"002790","아모레G","55400","1300","2.40","4568183.0"
"024110","기업은행","7500","230","3.16","4328677.0"
"021240","코웨이","57800","400","0.70","4265618.0"
"035250","강원랜드","19750","450","2.33","4225325.0"
"034220","LG디스플레이","11100","-50","-0.45","3971754.0"
"006800","미래에셋대우","5270","-50","-0.94","3469327.0"
"078930","GS","36800","-350","-0.94","3419286.0"
"029780","삼성카드","29900","-950","-3.08","3464181.0"
"086280","현대글로비스","90600","3600","4.14","3397500.0"
"267250","현대중공업지주","197500","3500","1.80","3216607.0"
"097950","CJ제일제당","216000","2500","1.17","3251704.0"
"000100","유한양행","229000","6000","2.69","3062042.0"
"000120","CJ대한통운","136000","3500","2.64","3102479.0"
"128940","한미약품","261500","13500","5.44","3096952.0"
"012750","에스원","80000","300","0.38","3039934.0"
"000720","현대건설","27450","1950","7.65","3056716.0"
"139480","이마트","106500","-1000","-0.93","2968775.0"
"071050","한국금융지주","49750","1700","3.54","2772368.0"
"008770","호텔신라","70500","2000","2.92","2766993.0"
"016360","삼성증권","29350","1050","3.71","2620955.0"
"011070","LG이노텍","114000","0","0.00","2698050.0"
"000210","대림산업","73700","6900","10.33","2564760.0"
"005940","NH투자증권","8990","320","3.69","2529866.0"
"004990","롯데지주","24000","250","1.05","2517822.0"
"010140","삼성중공업","3900","115","3.04","2457000.0"
"005830","DB손해보험","34750","1400","4.20","2460300.0"
"004020","현대제철","17950","400","2.28","2395352.0"
"161390","한국타이어앤테크놀로지","19350","1100","6.03","2396983.0"
"007070","GS리테일","30900","1900","6.55","2379300.0"
"282330","BGF리테일","132000","11000","9.09","2281476.0"
"003410","쌍용양회","4510","-5","-0.11","2272407.0"
"004170","신세계","217500","2500","1.16","2141327.0"
"023530","롯데쇼핑","75000","2400","3.31","2121657.0"
"009830","한화솔루션","13400","250","1.90","2163822.0"
"001450","현대해상","22650","1400","6.59","2024910.0"
"047810","한국항공우주","20950","50","0.24","2042103.0"
"028050","삼성엔지니어링","10150","200","2.01","1989400.0"
"036460","한국가스공사","21500","150","0.70","1984730.0"
"011780","금호석유","64800","3200","5.19","1974306.0"
"000080","하이트진로","26850","1000","3.87","1883087.0"
"241560","두산밥캣","17950","750","4.36","1799473.0"
"030000","제일기획","15850","550","3.59","1823403.0"
"001040","CJ","64500","400","0.62","1881916.0"
"003490","대한항공","18700","0","0.00","1773595.0"
"004370","농심","288500","7500","2.67","1754842.0"
"081660","휠라홀딩스","29050","-350","-1.19","1764852.0"
"008560","메리츠종금증권","2830","110","4.04","1746989.0"
"008930","한미사이언스","26950","1300","5.07","1779000.0"
"007310","오뚜기","475500","6500","1.39","1714290.0"
"003000","부광약품","25350","5850","30.00","1643643.0"
"006360","GS건설","20500","1550","8.18","1642005.0"
"006280","녹십자","138000","8000","6.15","1612742.0"
"017800","현대엘리베이","57100","4800","9.18","1553082.0"
"028670","팬오션","2955","45","1.55","1579652.0"
"026960","동서","15750","200","1.29","1570275.0"
"011790","SKC","37200","-1300","-3.38","1396285.0"
"020150","일진머티리얼즈","31400","-800","-2.48","1447880.0"
"138930","BNK금융지주","4435","140","3.26","1445523.0"
"047050","포스코인터내셔널","11350","150","1.34","1400308.0"
"042660","대우조선해양","13450","150","1.13","1441917.0"
"004800","효성","61100","-200","-0.33","1287440.0"
"069960","현대백화점","58800","1900","3.34","1376064.0"
"051600","한전KPS","29050","-450","-1.53","1307250.0"
"031430","신세계인터내셔날","187500","1500","0.81","1338750.0"
"009240","한샘","50300","-700","-1.37","1183757.0"
"088350","한화생명","1390","-35","-2.46","1207257.0"
"047040","대우건설","2940","135","4.81","1221931.0"
"009420","한올바이오파마","23700","1750","7.97","1238103.0"
"000880","한화","15300","500","3.38","1146869.0"
"010620","현대미포조선","27100","1200","4.63","1082432.0"
"002380","KCC","129500","-500","-0.38","1150798.0"
"001740","SK네트웍스","4550","-50","-1.09","1129254.0"
"010120","LS산전","34500","1750","5.34","1035000.0"
"012450","한화에어로스페이스","20550","400","1.99","1059558.0"
"064350","현대로템","12450","1700","15.81","1058250.0"
"069620","대웅제약","84700","1900","2.29","981383.0"
"294870","HDC현대산업개발","15550","200","1.30","1024859.0"
"204320","만도","20700","300","1.47","972012.0"
"214320","이노션","52600","-600","-1.13","1052000.0"
"285130","SK케미칼","84600","-2700","-3.09","993322.0"
"111770","영원무역","22350","650","3.00","990361.0"
"000670","영풍","477000","7000","1.49","878653.0"
"000990","DB하이텍","21650","600","2.85","961229.0"
"003520","영진약품","4850","165","3.52","887030.0"
"185750","종근당","85000","9600","12.73","925283.0"
"006260","LS","28900","300","1.05","930580.0"
"014680","한솔케미칼","78900","3100","4.09","891191.0"
"073240","금호타이어","3060","70","2.34","879016.0"
"005250","녹십자홀딩스","19950","1400","7.55","938213.0"
"000240","한국테크놀로지그룹","8550","140","1.66","795322.0"
