종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","38700","450","1.18","2.31030585E8"
"000660","SK하이닉스","60500","-1100","-1.79","4.4044143E7"
"068270","셀트리온","222500","-500","-0.22","2.791399E7"
"207940","삼성바이오로직스","386500","15500","4.18","2.5572773E7"
"005380","현대차","118500","0","0.00","2.531968E7"
"051910","LG화학","347000","0","0.00","2.4495543E7"
"017670","SK텔레콤","269500","3500","1.32","2.1760969E7"
"005490","POSCO","243000","1500","0.62","2.1186401E7"
"015760","한국전력","33100","600","1.85","2.1249011E7"
"035420","NAVER","122000","-500","-0.41","2.0107234E7"
"028260","삼성물산","105500","1000","0.96","2.00123E7"
"105560","KB금융","46500","1050","2.31","1.9442186E7"
"055550","신한지주","39600","550","1.41","1.8778304E7"
"012330","현대모비스","190000","1500","0.80","1.8495334E7"
"034730","SK","260000","2000","0.78","1.8293677E7"
"051900","LG생활건강","1101000","20000","1.85","1.7195635E7"
"096770","SK이노베이션","179500","500","0.28","1.6597569E7"
"032830","삼성생명","81600","100","0.12","1.632E7"
"018260","삼성에스디에스","204000","5500","2.77","1.5785071E7"
"006400","삼성SDI","219000","-1500","-0.68","1.5059432E7"
"033780","KT&G","101500","0","0.00","1.3935188E7"
"000270","기아차","33700","650","1.97","1.3660745E7"
"000810","삼성화재","269000","1000","0.37","1.2743831E7"
"090430","아모레퍼시픽","209500","0","0.00","1.2247054E7"
"003550","LG","69900","1200","1.75","1.2061743E7"
"010950","S-Oil","97700","-3300","-3.27","1.0999339E7"
"086790","하나금융지주","36250","550","1.54","1.0883775E7"
"000030","우리은행","15600","-100","-0.64","1.05456E7"
"036570","엔씨소프트","466500","-17500","-3.62","1.0234554E7"
"066570","LG전자","62300","400","0.65","1.0195259E7"
"251270","넷마블","111500","-3500","-3.04","9507144.0"
"011170","롯데케미칼","277000","-2500","-0.89","9494291.0"
"009540","현대중공업","128500","-1000","-0.77","9094345.0"
"035720","카카오","103000","1500","1.48","8588941.0"
"010130","고려아연","432500","-10500","-2.37","8161275.0"
"024110","기업은행","14050","0","0.00","7867702.0"
"030200","KT","29800","200","0.68","7781132.0"
"009150","삼성전기","103500","0","0.00","7730798.0"
"032640","LG유플러스","17650","650","3.82","7706191.0"
"035250","강원랜드","32000","50","0.16","6846096.0"
"034220","LG디스플레이","18050","-150","-0.82","6458573.0"
"004990","롯데지주","52700","0","0.00","6143041.0"
"000720","현대건설","54600","900","1.68","6080025.0"
"004020","현대제철","45250","-250","-0.55","6038422.0"
"023530","롯데쇼핑","211000","-2500","-1.17","5968927.0"
"002790","아모레G","72700","600","0.83","5994710.0"
"018880","한온시스템","10800","100","0.93","5765040.0"
"267250","현대중공업지주","346000","-5000","-1.42","5635169.0"
"021240","코웨이","74100","600","0.82","5468552.0"
"128940","한미약품","464000","13500","3.00","5282961.0"
"139480","이마트","182500","-1500","-0.82","5087337.0"
"005830","DB손해보험","70400","-600","-0.85","4984320.0"
"097950","CJ제일제당","330500","5000","1.54","4975408.0"
"161390","한국타이어","40150","250","0.63","4973584.0"
"008930","한미사이언스","79000","2200","2.86","5016442.0"
"086280","현대글로비스","129000","1000","0.78","4837500.0"
"271560","오리온","120000","6000","5.26","4744075.0"
"078930","GS","51600","1100","2.18","4794434.0"
"010140","삼성중공업","7410","-30","-0.40","4668300.0"
"036460","한국가스공사","48200","100","0.21","4449487.0"
"006800","미래에셋대우","6530","-40","-0.61","4298806.0"
"029780","삼성카드","34550","-300","-0.86","4002925.0"
"012750","에스원","100500","-3000","-2.90","3818917.0"
"000120","CJ대한통운","167000","-1500","-0.89","3809661.0"
"005940","NH투자증권","13050","100","0.77","3672386.0"
"088350","한화생명","4220","-5","-0.12","3665197.0"
"042660","대우조선해양","34150","-600","-1.73","3661076.0"
"000210","대림산업","102500","-500","-0.49","3567000.0"
"001450","현대해상","41050","-200","-0.48","3669870.0"
"006360","GS건설","43750","-750","-1.69","3469246.0"
"282330","BGF리테일","204000","1000","0.49","3525917.0"
"028050","삼성엔지니어링","17600","100","0.57","3449600.0"
"001040","CJ","121500","1000","0.83","3545005.0"
"009830","한화케미칼","20200","250","1.25","3294830.0"
"071050","한국금융지주","59500","100","0.17","3315697.0"
"002380","KCC","309000","3000","0.98","3261963.0"
"007070","GS리테일","40500","1050","2.66","3118500.0"
"241560","두산밥캣","31500","650","2.11","3157849.0"
"003490","대한항공","33050","-400","-1.20","3134615.0"
"003410","쌍용양회","6290","10","0.16","3169277.0"
"047810","한국항공우주","31900","1000","3.24","3109456.0"
"008770","호텔신라","76500","400","0.53","3002481.0"
"017800","현대엘리베이","107000","2500","2.39","2905934.0"
"016360","삼성증권","31500","50","0.16","2812950.0"
"011780","금호석유","87300","1700","1.99","2659829.0"
"004170","신세계","256000","2000","0.79","2520366.0"
"007310","오뚜기","724000","4000","0.56","2610192.0"
"030000","제일기획","22500","50","0.22","2588428.0"
"010060","OCI","107000","2500","2.39","2551883.0"
"008560","메리츠종금증권","4280","80","1.90","2592144.0"
"010620","현대미포조선","60000","800","1.35","2396529.0"
"000100","유한양행","204500","-1000","-0.49","2496813.0"
"000880","한화","31350","-500","-1.57","2349956.0"
"138930","BNK금융지주","7330","-20","-0.27","2389105.0"
"064350","현대로템","27850","500","1.83","2367250.0"
"028670","팬오션","4445","55","1.25","2376160.0"
"047040","대우건설","5390","-10","-0.19","2240206.0"
"069620","대웅제약","188500","2000","1.07","2184069.0"
"047050","포스코대우","18200","150","0.83","2245428.0"
"011070","LG이노텍","86400","-1300","-1.48","2044838.0"
"294870","HDC현대산업개발","48200","850","1.80","2117822.0"
"069960","현대백화점","90400","200","0.22","2115581.0"
"000150","두산","111500","2000","1.83","2033548.0"
"020150","일진머티리얼즈","41000","950","2.37","1890544.0"
"009420","한올바이오파마","36200","550","1.54","1891111.0"
"012450","한화에어로스페이스","32500","0","0.00","1691300.0"
"111770","영원무역","38350","1700","4.64","1699345.0"
"026960","동서","17900","-100","-0.56","1784630.0"
"006260","LS","49100","600","1.24","1581020.0"
"006280","녹십자","136000","1500","1.12","1589369.0"
"161890","한국콜마","70500","900","1.29","1575442.0"
"042670","두산인프라코어","7590","-50","-0.65","1579918.0"
"009240","한샘","67400","-1200","-1.75","1586187.0"
"000240","한국타이어월드와이드","16600","100","0.61","1544135.0"
"003240","태광산업","1320000","-51000","-3.72","1469688.0"
"004370","농심","254500","6500","2.62","1548032.0"
"120110","코오롱인더","57300","3000","5.52","1545888.0"
"051600","한전KPS","33200","100","0.30","1494000.0"
"073240","금호타이어","5310","20","0.38","1525352.0"
"114090","GKL","24900","100","0.40","1540206.0"
"010120","LS산전","49000","-350","-0.71","1470000.0"
"000670","영풍","745000","-7000","-0.93","1372320.0"
"204320","만도","28950","0","0.00","1359409.0"
"011790","SKC","35800","400","1.13","1343737.0"
"005440","현대그린푸드","14300","0","0.00","1397174.0"
"001740","SK네트웍스","5200","-70","-1.33","1290576.0"
"214320","이노션","63300","-600","-0.94","1266000.0"
"192820","코스맥스","130000","2000","1.56","1306436.0"
"000080","하이트진로","16600","-350","-2.06","1164218.0"
