종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","49050","650","1.34","2.92817834E8"
"000660","SK하이닉스","82200","800","0.98","5.9841794E7"
"005380","현대차","134000","500","0.37","2.8631537E7"
"035420","NAVER","157000","1000","0.64","2.5875703E7"
"012330","현대모비스","252000","3000","1.20","2.4017287E7"
"051910","LG화학","299500","-2000","-0.66","2.1142407E7"
"068270","셀트리온","164000","-2000","-1.20","2.1047158E7"
"051900","LG생활건강","1307000","1000","0.08","2.0412983E7"
"207940","삼성바이오로직스","307500","-4000","-1.28","2.0345738E7"
"055550","신한지주","41800","-50","-0.12","1.9821543E7"
"005490","POSCO","227000","2000","0.89","1.9791412E7"
"017670","SK텔레콤","241500","2000","0.84","1.9500089E7"
"000270","기아차","45600","250","0.55","1.8484569E7"
"105560","KB금융","42700","300","0.71","1.7853363E7"
"028260","삼성물산","89700","800","0.90","1.7015197E7"
"015760","한국전력","25900","150","0.58","1.662687E7"
"096770","SK이노베이션","166000","2000","1.22","1.5349284E7"
"006400","삼성SDI","223000","500","0.22","1.533449E7"
"018260","삼성에스디에스","190500","1000","0.53","1.4740471E7"
"033780","KT&G","105500","1000","0.96","1.4484358E7"
"034730","SK","204000","1500","0.74","1.4353501E7"
"032830","삼성생명","71100","500","0.71","1.422E7"
"003550","LG","70000","1100","1.60","1.2078999E7"
"036570","엔씨소프트","521000","-2000","-0.38","1.1438045E7"
"035720","카카오","135500","0","0.00","1.1355496E7"
"010950","S-Oil","99400","-600","-0.60","1.119073E7"
"066570","LG전자","67400","700","1.05","1.1029863E7"
"086790","하나금융지주","35250","250","0.71","1.0583533E7"
"000810","삼성화재","223000","-4500","-1.98","1.0564589E7"
"316140","우리금융지주","12450","350","2.89","8992233.0"
"009540","한국조선해양","124000","1500","1.22","8775866.0"
"010130","고려아연","448000","5000","1.13","8453760.0"
"090430","아모레퍼시픽","140500","-4500","-3.10","8213418.0"
"251270","넷마블","94500","400","0.43","8102451.0"
"011170","롯데케미칼","236000","500","0.21","8088999.0"
"024110","기업은행","13200","350","2.72","7589266.0"
"009150","삼성전기","103000","2500","2.49","7693451.0"
"030200","KT","27450","0","0.00","7167519.0"
"018880","한온시스템","12000","0","0.00","6405600.0"
"035250","강원랜드","29550","50","0.17","6321942.0"
"021240","웅진코웨이","84600","900","1.08","6243448.0"
"032640","LG유플러스","13650","100","0.74","5959745.0"
"086280","현대글로비스","156000","4500","2.97","5850000.0"
"267250","현대중공업지주","349500","3500","1.01","5692173.0"
"002790","아모레G","65400","-1400","-2.10","5392765.0"
"004020","현대제철","38900","150","0.39","5191041.0"
"000720","현대건설","46300","500","1.09","5155772.0"
"034220","LG디스플레이","14150","450","3.28","5063092.0"
"010140","삼성중공업","7880","90","1.16","4964400.0"
"006800","미래에셋대우","7500","40","0.54","4937373.0"
"078930","GS","50300","550","1.11","4673644.0"
"071050","한국금융지주","75300","2000","2.73","4196167.0"
"029780","삼성카드","35150","1600","4.77","4072440.0"
"271560","오리온","98400","900","0.92","3890355.0"
"161390","한국타이어앤테크놀로지","32250","650","2.06","3994971.0"
"047810","한국항공우주","39100","700","1.82","3811277.0"
"004990","롯데지주","36250","-200","-0.55","3802960.0"
