종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1441000","13000","0.91","2.12258345E8"
"005380","현대차","168500","1500","0.90","3.7116587E7"
"000660","SK하이닉스","45550","50","0.11","3.3160508E7"
"015760","한국전력","46000","400","0.88","2.9530348E7"
"012330","현대모비스","246500","1000","0.41","2.3995262E7"
"035420","NAVER","671000","-10000","-1.47","2.2117958E7"
"017670","SK텔레콤","272500","-6000","-2.15","2.2003206E7"
"005490","POSCO","244500","2000","0.82","2.1317181E7"
"018260","삼성에스디에스","267500","-4500","-1.65","2.0698562E7"
"028260","제일모직","149500","-2000","-1.32","2.01825E7"
"055550","신한지주","41950","750","1.82","1.9892673E7"
"090430","아모레퍼시픽","3355000","114000","3.52","1.9612823E7"
"032830","삼성생명","96700","800","0.83","1.934E7"
"000270","기아차","45200","-50","-0.11","1.8322423E7"
"105560","KB금융","39300","450","1.16","1.5183622E7"
"051910","LG화학","226000","1000","0.44","1.4977269E7"
"051900","LG생활건강","841000","42000","5.26","1.3134904E7"
"000810","삼성화재","267500","5500","2.10","1.2672769E7"
"033780","KT&G","88700","-1200","-1.33","1.2177844E7"
"002790","아모레G","1500000","81000","5.71","1.1968647E7"
"034730","SK C&C","232500","-1000","-0.43","1.1625E7"
"034220","LG디스플레이","31300","-250","-0.79","1.1199631E7"
"003550","LG","61300","400","0.66","1.0577752E7"
"066570","LG전자","58900","100","0.17","9638856.0"
"006400","삼성SDI","136500","-7000","-4.88","9386358.0"
"009540","현대중공업","122000","-500","-0.41","9272000.0"
"000830","삼성물산","59400","-400","-0.67","9279335.0"
"096770","SK이노베이션","95400","3200","3.47","8821215.0"
"086280","현대글로비스","226000","-1000","-0.44","8475000.0"
"004020","현대제철","73000","-2300","-3.05","8508134.0"
"086790","하나금융지주","28750","350","1.23","8334454.0"
"010130","고려아연","424000","-5500","-1.28","8000880.0"
"003600","SK","170000","500","0.29","7983508.0"
"030200","KT","29000","-250","-0.85","7572242.0"
"023530","롯데쇼핑","237500","3500","1.50","7479087.0"
"035250","강원랜드","34650","300","0.87","7413038.0"
"024110","기업은행","13350","250","1.91","7427966.0"
"010950","S-Oil","64300","1200","1.90","7239074.0"
"021240","코웨이","91500","-1800","-1.93","7056919.0"
"011170","롯데케미칼","203500","-4000","-1.93","6975048.0"
"001800","오리온","1158000","18000","1.58","6919014.0"
"139480","이마트","233000","-4500","-1.89","6495066.0"
"088350","한화생명","7370","-10","-0.14","6401066.0"
"000030","우리은행","9380","70","0.75","6343491.0"
