종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","44650","-200","-0.45","2.66550791E8"
"000660","SK하이닉스","74200","1900","2.63","5.4017775E7"
"051910","LG화학","366000","5000","1.39","2.5836798E7"
"005380","현대차","119500","0","0.00","2.5533348E7"
"068270","셀트리온","181000","500","0.28","2.270852E7"
"051900","LG생활건강","1417000","21000","1.50","2.2130985E7"
"005490","POSCO","253000","-1500","-0.59","2.2058269E7"
"207940","삼성바이오로직스","319500","-500","-0.16","2.1139718E7"
"035420","NAVER","124000","2000","1.64","2.0436861E7"
"012330","현대모비스","208500","-500","-0.24","2.0296195E7"
"017670","SK텔레콤","251500","0","0.00","2.0307546E7"
"028260","삼성물산","107000","500","0.47","2.0296835E7"
"055550","신한지주","42000","-50","-0.12","1.9916383E7"
"015760","한국전력","29900","-750","-2.45","1.9194726E7"
"034730","SK","270500","5500","2.08","1.903246E7"
"018260","삼성에스디에스","235000","-1000","-0.42","1.8183783E7"
"105560","KB금융","41850","1100","2.70","1.7497968E7"
"032830","삼성생명","84100","400","0.48","1.682E7"
"096770","SK이노베이션","179500","-7000","-3.75","1.6597569E7"
"006400","삼성SDI","214500","3000","1.42","1.4749992E7"
"000270","기아차","35350","900","2.61","1.4329594E7"
"000810","삼성화재","301000","-7000","-2.27","1.4259826E7"
"033780","KT&G","103500","-2500","-2.36","1.4209773E7"
"003550","LG","77500","0","0.00","1.3373178E7"
"066570","LG전자","75100","2900","4.02","1.2289951E7"
"086790","하나금융지주","36400","500","1.39","1.0928811E7"
"090430","아모레퍼시픽","188500","3000","1.62","1.1019425E7"
"036570","엔씨소프트","496000","-2000","-0.40","1.0881755E7"
"251270","넷마블","125000","500","0.40","1.0658324E7"
"010950","S-Oil","89600","-900","-0.99","1.0087418E7"
"011170","롯데케미칼","290500","9000","3.20","9957009.0"
"316140","우리금융지주","13750","200","1.48","9352259.0"
"010130","고려아연","465000","6000","1.31","8774550.0"
"035720","카카오","103500","1000","0.98","8630635.0"
"009540","현대중공업","119000","3000","2.59","8422001.0"
"024110","기업은행","14050","100","0.72","8077969.0"
"009150","삼성전기","104500","2000","1.95","7805491.0"
"030200","KT","27400","-400","-1.44","7154464.0"
"034220","LG디스플레이","19500","150","0.78","6977406.0"
"021240","코웨이","94500","0","0.00","6974064.0"
"035250","강원랜드","32000","500","1.59","6846096.0"
"032640","LG유플러스","15450","-200","-1.28","6745646.0"
"018880","한온시스템","11350","150","1.34","6058630.0"
"004020","현대제철","44900","50","0.11","5991716.0"
"000720","현대건설","53400","3000","5.95","5946398.0"
"002790","아모레G","69600","1100","1.61","5739089.0"
"267250","현대중공업지주","333000","1000","0.30","5423443.0"
"004990","롯데지주","49400","400","0.82","5182516.0"
"128940","한미약품","456000","5500","1.22","5295156.0"
"010140","삼성중공업","8260","180","2.23","5203800.0"
"023530","롯데쇼핑","178000","0","0.00","5035398.0"
"008930","한미사이언스","77400","1900","2.52","5011097.0"
"005830","DB손해보험","68700","-1100","-1.58","4863960.0"
"006800","미래에셋대우","7330","210","2.95","4825459.0"
"097950","CJ제일제당","323000","1000","0.31","4862502.0"
"086280","현대글로비스","128500","4500","3.63","4818750.0"
"078930","GS","52800","200","0.38","4905932.0"
"139480","이마트","172000","1500","0.88","4794641.0"
"161390","한국타이어","37450","-600","-1.58","4639121.0"
"036460","한국가스공사","45100","150","0.33","4163316.0"
"029780","삼성카드","34400","450","1.33","3985546.0"
"271560","오리온","100000","3600","3.73","3953613.0"
"000120","CJ대한통운","165500","4000","2.48","3775443.0"
"005940","NH투자증권","13450","600","4.67","3784950.0"
"282330","BGF리테일","218500","1000","0.46","3776533.0"
"012750","에스원","100500","1300","1.31","3818917.0"
"008770","호텔신라","95400","1600","1.71","3744271.0"
"001040","CJ","124500","3000","2.47","3632536.0"
"088350","한화생명","4000","45","1.14","3474120.0"
"000210","대림산업","96400","3300","3.54","3354720.0"
"001450","현대해상","37900","-950","-2.45","3388260.0"
"002380","KCC","318500","11000","3.58","3362249.0"
"071050","한국금융지주","62100","1400","2.31","3460584.0"
"009830","한화케미칼","20900","0","0.00","3409007.0"
"047810","한국항공우주","35350","550","1.58","3445745.0"
"006360","GS건설","42600","1650","4.03","3400345.0"
"004170","신세계","337500","6500","1.96","3322749.0"
"028050","삼성엔지니어링","16100","100","0.63","3155600.0"
"003410","쌍용양회","6400","10","0.16","3224701.0"
"000100","유한양행","240000","2000","0.84","3066508.0"
"003490","대한항공","31850","400","1.27","3020802.0"
"241560","두산밥캣","30900","0","0.00","3097699.0"
"042660","대우조선해양","27950","800","2.95","2996401.0"
"007070","GS리테일","39150","-350","-0.89","3014550.0"
"008560","메리츠종금증권","4885","135","2.84","2958557.0"
"016360","삼성증권","33300","950","2.94","2973690.0"
"011780","금호석유","95200","3000","3.25","2900524.0"
"007310","오뚜기","771000","10000","1.31","2779638.0"
"030000","제일기획","24200","100","0.41","2783998.0"
"011070","LG이노텍","117500","5000","4.44","2780885.0"
"017800","현대엘리베이","89400","8500","10.51","2427949.0"
