종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","2060000","-39000","-1.86","2.89799434E8"
"000660","SK하이닉스","50500","-400","-0.79","3.6764119E7"
"005380","현대차","157500","-1000","-0.63","3.4693545E7"
"015760","한국전력","46450","-150","-0.32","2.9819231E7"
"035420","NAVER","855000","-6000","-0.70","2.8183091E7"
"005490","POSCO","291000","7000","2.46","2.5371369E7"
"028260","삼성물산","127500","-500","-0.39","2.418548E7"
"012330","현대모비스","240500","5500","2.34","2.3411199E7"
"055550","신한지주","46600","-350","-0.75","2.2097701E7"
"032830","삼성생명","108500","1000","0.93","2.17E7"
"051910","LG화학","294000","-3000","-1.01","2.0754149E7"
"105560","KB금융","49000","-350","-0.71","2.0487465E7"
"017670","SK텔레콤","252000","-3500","-1.37","2.0347919E7"
"034730","SK","243500","3500","1.46","1.7132732E7"
"090430","아모레퍼시픽","280500","-2500","-0.88","1.6397606E7"
"096770","SK이노베이션","166500","2000","1.22","1.5395516E7"
"000270","기아차","37050","450","1.23","1.5018712E7"
"033780","KT&G","97500","500","0.52","1.3386018E7"
"011170","롯데케미칼","370500","6500","1.79","1.2699043E7"
"000810","삼성화재","268000","1500","0.56","1.2696456E7"
"051900","LG생활건강","811000","-12000","-1.46","1.2666358E7"
"009540","현대중공업","165000","0","0.00","1.254E7"
"003550","LG","70200","900","1.30","1.2113511E7"
"010950","S-Oil","100500","1600","1.62","1.1314571E7"
"066570","LG전자","67900","-200","-0.29","1.1111687E7"
"086790","하나금융지주","36950","-550","-1.47","1.0937313E7"
"034220","LG디스플레이","30250","150","0.50","1.0823925E7"
"018260","삼성에스디에스","133500","-500","-0.37","1.0329936E7"
"002790","아모레G","119500","-1500","-1.24","9853753.0"
"006400","삼성SDI","138000","1500","1.10","9489505.0"
"000030","우리은행","13000","-50","-0.38","8788000.0"
"030200","KT","31900","-150","-0.47","8329467.0"
"035250","강원랜드","38200","50","0.13","8172527.0"
"010130","고려아연","432000","-2500","-0.58","8151840.0"
"004020","현대제철","58500","600","1.04","7806578.0"
"021240","코웨이","96200","3300","3.55","7347805.0"
"161390","한국타이어","54500","0","0.00","6751191.0"
"024110","기업은행","12200","-50","-0.41","6831742.0"
"023530","롯데쇼핑","217500","500","0.23","6849269.0"
"036570","엔씨소프트","305000","3000","0.99","6688352.0"
"032640","LG유플러스","14300","-500","-3.38","6243542.0"
"006800","미래에셋대우","9040","0","0.00","6023500.0"
"139480","이마트","205500","-2500","-1.20","5728481.0"
"047810","한국항공우주","57600","1000","1.77","5614566.0"
"000720","현대건설","49500","-150","-0.30","5512110.0"
"086280","현대글로비스","147000","-500","-0.34","5512500.0"
"078930","GS","59100","1300","2.25","5491299.0"
"027410","BGF리테일","105000","1500","1.45","5202501.0"
"009150","삼성전기","69500","300","0.43","5191212.0"
"088350","한화생명","6040","60","1.00","5245921.0"
"009240","한샘","220000","-3500","-1.57","5177464.0"
"001040","CJ","174000","-1500","-0.85","5076798.0"
"018880","한온시스템","9280","90","0.98","4953664.0"
"004800","효성","135500","0","0.00","4758415.0"
"097950","CJ제일제당","353000","-5000","-1.40","4647244.0"
"029780","삼성카드","39200","350","0.90","4541669.0"
"005830","동부화재","64000","1000","1.59","4531200.0"
"010140","삼성중공업","11200","250","2.28","4368000.0"
"009830","한화케미칼","26400","150","0.57","4350967.0"
"036460","한국가스공사","44950","-300","-0.66","4149469.0"
"007070","GS리테일","52700","100","0.19","4057900.0"
"001800","오리온","670000","0","0.00","4025651.0"
"000120","CJ대한통운","166500","-1500","-0.89","3798255.0"
"008930","한미사이언스","58400","800","1.39","3637145.0"
"002380","KCC","354000","0","0.00","3737006.0"
"005940","NH투자증권","12550","200","1.62","3531682.0"
"012750","에스원","89700","700","0.79","3408526.0"
"128940","한미약품","299000","4000","1.36","3337872.0"
"011070","LG이노텍","136500","-2500","-1.80","3230560.0"
"012630","현대산업","40650","150","0.37","3064367.0"
"001450","현대해상","35000","900","2.64","3129000.0"
"003490","대한항공","31550","750","2.44","2992348.0"
"016360","삼성증권","33650","-100","-0.30","3004945.0"
"042660","대우조선해양","44800","0","0.00","2937848.0"
"047040","대우건설","7250","40","0.55","3013264.0"
"047050","포스코대우","23850","1150","5.07","2942497.0"
"138930","BNK금융지주","9180","-20","-0.22","2992086.0"
"051600","한전KPS","62400","-300","-0.48","2808000.0"
"000210","대림산업","80900","900","1.13","2815320.0"
"004990","롯데제과","192000","-2000","-1.03","2729088.0"
"000880","한화","35900","150","0.42","2691019.0"
"000100","유한양행","222500","3500","1.60","2595662.0"
"071050","한국금융지주","47100","-750","-1.57","2624694.0"
"007310","오뚜기","760000","8000","1.06","2614400.0"
"012450","한화테크윈","47100","350","0.75","2502423.0"
