종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1268000","-13000","-1.01","1.86775559E8"
"000660","SK하이닉스","42300","-300","-0.70","3.07945E7"
"005380","현대차","136000","1500","1.12","2.9957601E7"
"015760","한국전력","45800","1000","2.23","2.9401955E7"
"090430","아모레퍼시픽","418000","-500","-0.12","2.4435649E7"
"028260","제일모직","177500","3000","1.72","2.39625E7"
"032830","삼성생명","107500","-500","-0.46","2.15E7"
"035420","NAVER","634000","-17000","-2.61","2.0898338E7"
"012330","현대모비스","212000","2000","0.95","2.0636899E7"
"017670","SK텔레콤","250000","3000","1.21","2.0186428E7"
"018260","삼성에스디에스","259500","10000","4.01","2.0079539E7"
"055550","신한지주","41550","-200","-0.48","1.9702993E7"
"005490","POSCO","224000","0","0.00","1.9529851E7"
"051910","LG화학","278500","7000","2.58","1.8456501E7"
"000270","기아차","45300","200","0.44","1.836296E7"
"002790","아모레G","187000","-3500","-1.84","1.4920913E7"
"105560","KB금융","36900","0","0.00","1.4256377E7"
"000810","삼성화재","294000","-2000","-0.68","1.3928202E7"
"033780","KT&G","94900","500","0.53","1.3029058E7"
"034730","SK C&C","276500","8000","2.98","1.2166E7"
"051900","LG생활건강","774000","15000","1.98","1.2088484E7"
"096770","SK이노베이션","122000","1500","1.24","1.1280799E7"
"003550","LG","61800","2300","3.87","1.0664031E7"
"000830","삼성물산","66200","-200","-0.30","1.0341616E7"
"010130","고려아연","545000","10000","1.87","1.028415E7"
"011170","롯데케미칼","289000","11000","3.96","9905596.0"
"003600","SK","198000","3000","1.54","9298439.0"
"034220","LG디스플레이","25850","700","2.78","9249536.0"
"001040","CJ","296000","-2000","-0.67","8618433.0"
"086790","하나금융지주","29050","-150","-0.51","8598889.0"
"009540","현대중공업","111000","500","0.45","8436000.0"
"024110","기업은행","14450","150","1.05","8040008.0"
"004020","현대제철","67700","1200","1.80","7890420.0"
"035250","강원랜드","37000","-50","-0.13","7915799.0"
"047810","한국항공우주","79500","700","0.89","7749271.0"
"066570","LG전자","47200","50","0.11","7724177.0"
"010950","S-Oil","67600","1500","2.27","7610597.0"
"006400","삼성SDI","111000","-2500","-2.20","7632863.0"
"086280","현대글로비스","202000","3500","1.76","7575000.0"
"030200","KT","28450","50","0.18","7428631.0"
"023530","롯데쇼핑","234500","10500","4.69","7384614.0"
"021240","코웨이","91400","5000","5.79","7049206.0"
"088350","한화생명","7930","180","2.32","6887443.0"
"009240","한샘","281000","17000","6.44","6613034.0"
"000030","우리은행","9800","70","0.72","6627528.0"
"139480","이마트","231000","1000","0.43","6439314.0"
"001800","오리온","1048000","1000","0.10","6262180.0"
"097950","CJ제일제당","441000","8000","1.85","5800604.0"
"051600","한전KPS","118000","6000","5.36","5310000.0"
"161390","한국타이어","42000","650","1.57","5202753.0"
"002380","KCC","491000","4000","0.82","5165320.0"
"004800","효성","144000","2500","1.77","5056914.0"
"006800","대우증권","15250","150","0.99","4982189.0"
"012630","현대산업","66200","0","0.00","4990433.0"
"128940","한미약품","467000","13000","2.86","4777835.0"
"078930","GS","49750","200","0.40","4622540.0"
"000720","현대건설","41050","850","2.11","4571154.0"
"008770","호텔신라","111500","-1000","-0.89","4376165.0"
"000120","CJ대한통운","194000","4000","2.11","4425595.0"
"036570","엔씨소프트","198500","0","0.00","4352911.0"
"029780","삼성카드","37000","0","0.00","4286779.0"
"032640","LG유플러스","9860","90","0.92","4304988.0"
"016360","삼성증권","54600","200","0.37","4173360.0"
"018880","한라비스테온공조","38550","1400","3.77","4115598.0"
"036460","한국가스공사","43200","1050","2.49","3987922.0"
"005830","동부화재","56500","-400","-0.70","4000200.0"
"010140","삼성중공업","17050","400","2.40","3936425.0"
"009150","삼성전기","51100","300","0.59","3816848.0"
"138930","BNK금융지주","14200","-150","-1.05","3634280.0"
"071050","한국금융지주","63700","400","0.63","3549746.0"
"000880","한화","47200","1000","2.16","3538052.0"
"007070","GS리테일","46700","600","1.30","3595900.0"
