종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","78500","500","0.64","4.6862793E8"
"000660","SK하이닉스","141500","1100","0.78","1.03012335E8"
"373220","LG에너지솔루션","427500","6500","1.54","1.00035E8"
"207940","삼성바이오로직스","760000","31000","4.25","5.409224E7"
"005380","현대차","203500","5000","2.52","4.3046661E7"
"005490","POSCO홀딩스","499500","7000","1.42","4.2243329E7"
"000270","기아","100000","3000","3.09","4.020442E7"
"035420","NAVER","224000","1000","0.45","3.6379525E7"
"051910","LG화학","499000","13000","2.67","3.5225579E7"
"006400","삼성SDI","472000","16500","3.62","3.2456858E7"
"068270","셀트리온","201500","11700","6.16","2.9500158E7"
"003670","포스코퓨처엠","359000","1500","0.42","2.7809296E7"
"028260","삼성물산","129500","3400","2.70","2.4034121E7"
"035720","카카오","54300","900","1.69","2.4149879E7"
"012330","현대모비스","237000","7000","3.04","2.2196257E7"
"105560","KB금융","54100","1800","3.44","2.1829949E7"
"055550","신한지주","40150","1150","2.95","2.0697493E7"
"066570","LG전자","101800","1800","1.80","1.6659347E7"
"096770","SK이노베이션","140300","1200","0.86","1.4121976E7"
"032830","삼성생명","69100","500","0.73","1.382E7"
"323410","카카오뱅크","28500","800","2.89","1.3589858E7"
"011200","HMM","19580","60","0.31","1.3491393E7"
"003550","LG","85900","2800","3.37","1.3512155E7"
"018260","삼성에스디에스","170000","1300","0.77","1.3154226E7"
"034730","SK","178000","1800","1.02","1.3029303E7"
"450080","에코프로머티","188500","16900","9.85","1.3003714E7"
"086790","하나금융지주","43400","600","1.40","1.2688276E7"
"000810","삼성화재","263000","6000","2.33","1.2459582E7"
"015760","한국전력","18900","350","1.89","1.2133121E7"
"138040","메리츠금융지주","59100","3300","5.91","1.2019292E7"
"033780","KT&G","86900","1200","1.40","1.1629175E7"
"329180","HD현대중공업","129000","3500","2.79","1.1451732E7"
"009150","삼성전기","153200","2900","1.93","1.1443074E7"
"047050","포스코인터내셔널","62400","100","0.16","1.0977582E7"
"017670","SK텔레콤","50100","850","1.73","1.0963541E7"
"010130","고려아연","498000","2500","0.50","1.0412477E7"
"034020","두산에너빌리티","15900","260","1.66","1.0184922E7"
"352820","하이브","233500","2000","0.86","9725765.0"
"316140","우리금융지주","13000","110","0.85","9775343.0"
"024110","기업은행","11860","120","1.02","9457471.0"
"259960","크래프톤","193600","4200","2.22","9363027.0"
"030200","KT","34400","900","2.69","8870410.0"
"003490","대한항공","23900","450","1.92","8800474.0"
"009540","HD한국조선해양","120900","4100","3.51","8556470.0"
"090430","아모레퍼시픽","145000","7200","5.22","8481450.0"
