종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","2461000","9000","0.37","3.15959162E8"
"000660","SK하이닉스","81300","1000","1.25","5.9186592E7"
"068270","셀트리온","309500","-7500","-2.37","3.7965258E7"
"207940","삼성바이오로직스","487000","1000","0.21","3.2222355E7"
"005380","현대차","143500","0","0.00","3.1609675E7"
"005490","POSCO","325500","-11500","-3.41","2.8379315E7"
"051910","LG화학","385500","-500","-0.13","2.7213348E7"
"028260","삼성물산","140000","3000","2.19","2.6556606E7"
"035420","NAVER","792000","6000","0.76","2.6106442E7"
"105560","KB금융","60700","-900","-1.46","2.537937E7"
"012330","현대모비스","239500","-14500","-5.71","2.3313855E7"
"032830","삼성생명","116000","500","0.43","2.32E7"
"055550","신한지주","45700","550","1.22","2.1670921E7"
"015760","한국전력","32850","-50","-0.15","2.108852E7"
"034730","SK","296000","-2500","-0.84","2.0826648E7"
"018260","삼성에스디에스","255500","3000","1.19","1.9770028E7"
"096770","SK이노베이션","211000","1000","0.48","1.9510234E7"
"017670","SK텔레콤","233500","3500","1.52","1.8854124E7"
"051900","LG생활건강","1208000","16000","1.34","1.8866782E7"
"090430","아모레퍼시픽","317000","10000","3.26","1.8531341E7"
"066570","LG전자","109500","500","0.46","1.7919436E7"
"003550","LG","86100","-800","-0.92","1.4857169E7"
"011170","롯데케미칼","433000","0","0.00","1.4841256E7"
"086790","하나금융지주","45750","150","0.33","1.3736074E7"
"033780","KT&G","100000","0","0.00","1.372925E7"
"010950","S-Oil","120000","500","0.42","1.3509935E7"
"006400","삼성SDI","192500","1500","0.79","1.3237172E7"
"251270","넷마블게임즈","153000","6000","4.08","1.3009252E7"
"000810","삼성화재","270500","2500","0.93","1.2814893E7"
"000270","기아차","31000","-850","-2.67","1.2566264E7"
"002790","아모레G","142000","5000","3.65","1.1709062E7"
"035720","카카오","132000","2500","1.93","1.0067643E7"
"000030","우리은행","14650","250","1.74","9903400.0"
"034220","LG디스플레이","26150","300","1.16","9356881.0"
"009540","현대중공업","132000","-5500","-4.00","9129836.0"
"036570","엔씨소프트","420000","10000","2.44","9214389.0"
"010130","고려아연","479000","-3000","-0.62","9038730.0"
"024110","기업은행","15350","-250","-1.60","8595675.0"
"009150","삼성전기","105500","-1500","-1.40","7880185.0"
"139480","이마트","273500","3000","1.11","7624036.0"
"030200","KT","27550","200","0.73","7193630.0"
"267250","현대로보틱스","436500","10500","2.46","7109108.0"
"004020","현대제철","51000","-600","-1.16","6805735.0"
"021240","코웨이","89800","2000","2.28","6627206.0"
"161390","한국타이어","53600","1000","1.90","6639704.0"
"023530","롯데쇼핑","234500","500","0.21","6594620.0"
"086280","현대글로비스","169000","-13000","-7.14","6337500.0"
"006800","미래에셋대우","9220","10","0.11","6143437.0"
"018880","한온시스템","11450","-100","-0.87","6112010.0"
"035250","강원랜드","28200","950","3.49","6033122.0"
"008930","한미사이언스","93000","-1400","-1.48","5905432.0"
"128940","한미약품","511000","-6000","-1.16","5818088.0"
"078930","GS","62100","500","0.81","5770045.0"
"088350","한화생명","6190","-90","-1.43","5376201.0"
"032640","LG유플러스","12250","-50","-0.41","5348489.0"
"271560","오리온","128000","0","0.00","5060288.0"
"047810","한국항공우주","49950","0","0.00","4868882.0"
"009830","한화케미칼","29800","250","0.85","4911319.0"
"000720","현대건설","43700","1100","2.58","4866247.0"
"097950","CJ제일제당","321500","1500","0.47","4839599.0"
"071050","한국금융지주","82700","100","0.12","4608540.0"
"005830","DB손해보험","65000","-1000","-1.52","4602000.0"
"004990","롯데지주","63500","100","0.16","4678871.0"
"001040","CJ","159000","1500","0.95","4639143.0"
"036460","한국가스공사","48450","-100","-0.21","4472565.0"
"004800","효성","122500","3000","2.51","4301888.0"
"029780","삼성카드","35850","0","0.00","4153541.0"
"005940","NH투자증권","14150","200","1.43","3981936.0"
"008770","호텔신라","95900","3900","4.24","3763895.0"
"012750","에스원","98900","2900","3.02","3758119.0"
"010060","OCI","157000","-1000","-0.63","3744351.0"
"009240","한샘","154500","4500","3.00","3635992.0"
"002380","KCC","345500","14000","4.22","3647275.0"
"028050","삼성엔지니어링","18100","-400","-2.16","3547600.0"
"016360","삼성증권","39350","50","0.13","3513955.0"
"004170","신세계","357500","9000","2.58","3519652.0"
"001450","현대해상","38900","-350","-0.89","3477660.0"
"138930","BNK금융지주","10400","-250","-2.35","3389727.0"
"003490","대한항공","33800","1100","3.36","3205749.0"
"000120","CJ대한통운","137500","0","0.00","3136697.0"
"282330","BGF리테일","169000","16500","10.82","2920980.0"
"000880","한화","39150","-200","-0.51","2934634.0"
"012630","현대산업","38450","550","1.45","2898522.0"
"011070","LG이노텍","126000","2500","2.02","2982055.0"
"011780","금호석유","96400","-400","-0.41","2937085.0"
"010140","삼성중공업","7720","-160","-2.03","3010800.0"
"047050","포스코대우","22900","-50","-0.22","2825291.0"
"028670","팬오션","5200","-80","-1.52","2779608.0"
"000100","유한양행","222000","1000","0.45","2710477.0"
"026960","동서","26850","800","3.07","2676945.0"
"000210","대림산업","74400","800","1.09","2589120.0"
"008560","메리츠종금증권","4275","30","0.71","2589116.0"
"007070","GS리테일","32650","1950","6.35","2514050.0"
"003410","쌍용양회","23900","400","1.70","2408449.0"
"007310","오뚜기","712000","1000","0.14","2449280.0"
"006280","녹십자","206500","5500","2.74","2413270.0"
"006260","LS","74500","900","1.22","2398900.0"
"069620","대웅제약","199500","-1000","-0.50","2311522.0"
"047040","대우건설","5270","60","1.15","2190331.0"
"030000","제일기획","18000","-200","-1.10","2070742.0"
"051600","한전KPS","45500","100","0.22","2047500.0"
"006360","GS건설","29600","-200","-0.67","2122152.0"
"204320","만도","232000","1500","0.65","2178810.0"
"000150","두산","106500","-500","-0.47","2044587.0"
"069960","현대백화점","92600","2100","2.32","2167066.0"
"042670","두산인프라코어","9670","-50","-0.51","2012769.0"
"017800","현대엘리베이","79700","200","0.25","1982851.0"
"010620","현대미포조선","100000","700","0.70","2000000.0"
"006650","대한유화","298000","6000","2.05","1937000.0"
"004000","롯데정밀화학","70700","-300","-0.42","1824060.0"
"010120","LS산전","61400","100","0.16","1842000.0"
"005250","녹십자홀딩스","40200","450","1.13","1890534.0"
"004370","농심","306000","6000","2.00","1861288.0"
"020150","일진머티리얼즈","37300","450","1.22","1715800.0"
"034020","두산중공업","15900","0","0.00","1692764.0"
"120110","코오롱인더","67400","1700","2.59","1729480.0"
"161890","한국콜마","78100","300","0.39","1648258.0"
"000240","한국타이어월드와이드","18650","-250","-1.32","1734826.0"
"000670","영풍","917000","1000","0.11","1689151.0"
"001800","오리온홀딩스","27400","550","2.05","1716447.0"
"009420","한올바이오파마","32400","100","0.31","1692597.0"
"012450","한화테크윈","29600","700","2.42","1556960.0"
"011210","현대위아","55300","300","0.55","1503888.0"
"000080","하이트진로","22450","100","0.45","1574500.0"
"003520","영진약품","8260","30","0.36","1510694.0"
"114090","GKL","25700","1200","4.90","1589691.0"
