종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","68400","-200","-0.29","4.08333126E8"
"373220","LG에너지솔루션","476500","1000","0.21","1.11501E8"
"000660","SK하이닉스","114700","-300","-0.26","8.3501871E7"
"207940","삼성바이오로직스","681000","1000","0.15","4.8469494E7"
"005490","POSCO홀딩스","535000","2000","0.38","4.5245608E7"
"005380","현대차","191100","400","0.21","4.0423671E7"
"006400","삼성SDI","512000","-10000","-1.92","3.5207439E7"
"051910","LG화학","496500","-8500","-1.68","3.5049098E7"
"035420","NAVER","201500","500","0.25","3.3055891E7"
"000270","기아","81400","500","0.62","3.2726398E7"
"003670","포스코퓨처엠","359500","-8500","-2.31","2.7848028E7"
"012330","현대모비스","240500","-1500","-0.62","2.2675565E7"
"105560","KB금융","55300","-400","-0.72","2.2314162E7"
"068270","셀트리온","139200","2600","1.90","2.0379266E7"
"028260","삼성물산","107600","-200","-0.19","1.9969664E7"
"035720","카카오","43950","200","0.46","1.9532304E7"
"055550","신한지주","35600","0","0.00","1.8351949E7"
"066570","LG전자","100900","200","0.20","1.6512064E7"
"032830","삼성생명","70300","-400","-0.57","1.406E7"
"096770","SK이노베이션","148800","-800","-0.53","1.3758876E7"
"003550","LG","83800","-1200","-1.41","1.3181823E7"
"047050","포스코인터내셔널","71400","-1300","-1.79","1.2560887E7"
"086790","하나금융지주","42450","-150","-0.35","1.2410538E7"
"000810","삼성화재","260500","-6500","-2.43","1.2341145E7"
"033780","KT&G","86300","300","0.35","1.1848342E7"
"015760","한국전력","18020","40","0.22","1.1568193E7"
"017670","SK텔레콤","52000","500","0.97","1.1379323E7"
"138040","메리츠금융지주","55200","-1200","-2.13","1.1493626E7"
"323410","카카오뱅크","23350","550","2.41","1.1132513E7"
"329180","HD현대중공업","121200","900","0.75","1.0759302E7"
"034730","SK","146200","0","0.00","1.0701596E7"
"034020","두산에너빌리티","16430","100","0.61","1.052442E7"
"018260","삼성에스디에스","135200","-300","-0.22","1.0461479E7"
"009150","삼성전기","137400","1600","1.18","1.0262914E7"
"010130","고려아연","506000","-9000","-1.75","1.0050758E7"
"352820","하이브","238000","-4500","-1.86","9913199.0"
"316140","우리금융지주","12260","40","0.33","9324162.0"
"024110","기업은행","11210","20","0.18","8939144.0"
"010950","S-Oil","79200","1500","1.93","8916557.0"
"030200","KT","33150","300","0.91","8548084.0"
"003490","대한항공","21750","-250","-1.14","8008799.0"
"011200","HMM","16260","-200","-1.22","7951782.0"
"009540","HD한국조선해양","111000","-3500","-3.06","7855816.0"
"259960","크래프톤","150600","1900","1.28","7283429.0"
"090430","아모레퍼시픽","122000","-500","-0.41","7136117.0"
"086280","현대글로비스","184400","400","0.22","6915000.0"
"001570","금양","120300","1600","1.35","6983419.0"
"051900","LG생활건강","446500","-2000","-0.45","6973525.0"
"010140","삼성중공업","7840","30","0.38","6899200.0"
"326030","SK바이오팜","86200","1800","2.13","6750602.0"
"042660","한화오션","30950","350","1.14","6712232.0"
"005830","DB손해보험","89400","-1200","-1.32","6329520.0"
"402340","SK스퀘어","42450","-200","-0.47","6005298.0"
"028050","삼성엔지니어링","30250","700","2.37","5929000.0"
"011170","롯데케미칼","137100","-700","-0.51","5864510.0"
"011070","LG이노텍","244500","2500","1.03","5786608.0"
"000100","유한양행","75800","1500","2.02","5809210.0"
"377300","카카오페이","40750","350","0.87","5464632.0"
"012450","한화에어로스페이스","104600","400","0.38","5295898.0"
"361610","SK아이이테크놀로지","74000","-600","-0.80","5276022.0"
"267250","HD현대","66300","1800","2.79","5237242.0"
"004020","현대제철","38050","0","0.00","5077612.0"
"271560","오리온","128300","2000","1.58","5072486.0"
"241560","두산밥캣","51000","-400","-0.78","5112707.0"
"302440","SK바이오사이언스","67700","1000","1.50","5198280.0"
"009830","한화솔루션","29750","250","0.85","5113803.0"
"036570","엔씨소프트","222500","-2000","-0.89","4884770.0"
"018880","한온시스템","9420","330","3.63","5028396.0"
"161390","한국타이어앤테크놀로지","39600","200","0.51","4905453.0"
"047810","한국항공우주","48800","200","0.41","4756785.0"
"032640","LG유플러스","10360","0","0.00","4523294.0"
"034220","LG디스플레이","13110","-210","-1.58","4690964.0"
"097950","CJ제일제당","307000","0","0.00","4621635.0"
"383220","F&F","113000","1800","1.62","4328699.0"
"000720","현대건설","36250","650","1.83","4036646.0"
"006800","미래에셋증권","6450","-10","-0.15","3904291.0"
"011780","금호석유","134100","3200","2.44","3931049.0"
"078930","GS","39900","-250","-0.62","3707324.0"
"128940","한미약품","299000","5500","1.87","3756085.0"
"029780","삼성카드","30450","-100","-0.33","3527903.0"
"251270","넷마블","42100","-300","-0.71","3618642.0"
"005940","NH투자증권","10220","-60","-0.58","3389626.0"
"006260","LS","101600","1600","1.60","3271520.0"
"035250","강원랜드","15100","0","0.00","3230502.0"
"008770","호텔신라","84700","1400","1.68","3324316.0"
"010620","현대미포조선","83000","400","0.48","3315198.0"
"016360","삼성증권","36750","-250","-0.68","3281775.0"
"064350","현대로템","27750","500","1.83","3028699.0"
"021240","코웨이","41300","250","0.61","3047924.0"
"071050","한국금융지주","53100","-300","-0.56","2959050.0"
"180640","한진칼","42350","1750","4.31","2827383.0"
"004370","농심","473000","12500","2.71","2877090.0"
"001450","현대해상","32450","-250","-0.76","2901030.0"
"011790","SKC","75900","800","1.07","2874204.0"
"003410","쌍용C&E","5490","-90","-1.61","2766189.0"
"004990","롯데지주","25450","-250","-0.97","2669940.0"
"010120","LS ELECTRIC","93400","800","0.86","2802000.0"
"028670","팬오션","4960","145","3.01","2651465.0"
"001040","CJ","89800","100","0.11","2620094.0"
"002790","아모레G","30450","-150","-0.49","2510852.0"
"088350","한화생명","2855","-35","-1.21","2479653.0"
"039490","키움증권","94400","-700","-0.74","2475801.0"
"007070","GS리테일","23650","100","0.42","2476579.0"
"008930","한미사이언스","32950","1050","3.29","2305081.0"
"030000","제일기획","20050","-150","-0.74","2306577.0"
"282330","BGF리테일","141000","-200","-0.14","2437031.0"
"272210","한화시스템","12270","70","0.57","2318041.0"
"052690","한전기술","64300","1400","2.23","2457546.0"
"000990","DB하이텍","48800","500","1.04","2166651.0"
"002380","KCC","246500","-1000","-0.40","2190515.0"
"012750","에스원","56600","-600","-1.05","2150753.0"
"138930","BNK금융지주","6850","-40","-0.58","2206306.0"
"081660","휠라홀딩스","36100","-700","-1.90","2193155.0"
"111770","영원무역","48350","-350","-0.72","2142459.0"
"112610","씨에스윈드","54500","200","0.37","2298341.0"
"036460","한국가스공사","23900","0","0.00","2206281.0"
"023530","롯데쇼핑","71500","-400","-0.56","2022646.0"
"204320","HL만도","42000","900","2.19","1972199.0"
"139480","이마트","70400","0","0.00","1962458.0"
"042670","HD현대인프라코어","10600","-60","-0.56","2115797.0"
"000120","CJ대한통운","80800","200","0.25","1843237.0"
"000150","두산","113300","1800","1.61","1872151.0"
"000880","한화","23950","50","0.21","1795262.0"
"175330","JB금융지주","9960","-140","-1.39","1961950.0"
"014680","한솔케미칼","167800","400","0.24","1902046.0"
"020150","롯데에너지머티리얼즈","39800","150","0.38","1835211.0"
"079550","LIG넥스원","87900","4100","4.89","1933800.0"
"004170","신세계","190100","400","0.21","1871569.0"
"009420","한올바이오파마","32650","7500","29.82","1705657.0"
"011210","현대위아","63700","1100","1.76","1732327.0"
"298050","효성첨단소재","392500","6500","1.68","1758380.0"
"026960","동서","16820","-40","-0.24","1676954.0"
"047040","대우건설","4205","55","1.33","1747693.0"
"017800","현대엘리베이","43800","800","1.86","1712246.0"
"001440","대한전선","12130","20","0.17","1509546.0"
"003230","삼양식품","202000","6800","3.48","1521669.0"
"004000","롯데정밀화학","58500","400","0.69","1509300.0"
"005850","에스엘","32600","150","0.46","1514222.0"
"298020","효성티앤씨","352000","-500","-0.14","1523344.0"
"010060","OCI홀딩스","97500","1700","1.77","1600233.0"
"051600","한전KPS","32800","150","0.46","1476000.0"
"069960","현대백화점","63600","-200","-0.31","1488395.0"
"192820","코스맥스","128700","700","0.55","1460682.0"
"007310","오뚜기","365000","7000","1.96","1462858.0"
"000080","하이트진로","18890","30","0.16","1324824.0"
"001740","SK네트웍스","6100","-60","-0.97","1438247.0"
"004800","효성","61900","200","0.32","1304296.0"
"005420","코스모화학","38450","950","2.53","1346066.0"
