종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","64000","800","1.27","3.82066083E8"
"373220","LG에너지솔루션","584000","-4000","-0.68","1.36656E8"
"000660","SK하이닉스","88600","-200","-0.23","6.450101E7"
"207940","삼성바이오로직스","788000","6000","0.77","5.6085112E7"
"006400","삼성SDI","735000","14000","1.94","5.054193E7"
"051910","LG화학","712000","16000","2.30","5.0261748E7"
"005380","현대차","184500","3300","1.82","3.9027563E7"
"035420","NAVER","202000","1000","0.50","3.3137915E7"
"000270","기아","81000","1600","2.02","3.2834431E7"
"005490","POSCO홀딩스","368000","28500","8.39","3.1122213E7"
"035720","카카오","61100","1000","1.66","2.7225453E7"
"068270","셀트리온","149800","1200","0.81","2.109476E7"
"003670","포스코케미칼","272500","11000","4.21","2.1108727E7"
"012330","현대모비스","216000","3000","1.41","2.036558E7"
"028260","삼성물산","108200","-300","-0.28","2.0221182E7"
"105560","KB금융","47650","450","0.95","1.9483945E7"
"066570","LG전자","115300","2200","1.95","1.8868593E7"
"055550","신한지주","35350","250","0.71","1.7985545E7"
"096770","SK이노베이션","179300","-7900","-4.22","1.6579076E7"
"003550","LG","82800","1200","1.47","1.3024522E7"
"034730","SK","172500","-300","-0.17","1.2790759E7"
"032830","삼성생명","62800","200","0.32","1.256E7"
"086790","하나금융지주","40700","400","0.99","1.2043271E7"
"015760","한국전력","18010","-880","-4.66","1.1561773E7"
"033780","KT&G","83900","-300","-0.36","1.151884E7"
"009150","삼성전기","152700","-300","-0.20","1.1405727E7"
"323410","카카오뱅크","24150","200","0.84","1.1513081E7"
"010130","고려아연","553000","20000","3.75","1.0984326E7"
"034020","두산에너빌리티","17000","650","3.98","1.0851237E7"
"017670","SK텔레콤","48300","500","1.05","1.0569641E7"
"011200","HMM","20350","350","1.75","9951954.0"
"000810","삼성화재","206000","-1000","-0.48","9759216.0"
"051900","LG생활건강","600000","9000","1.52","9370918.0"
"009830","한화솔루션","53700","1800","3.47","9230629.0"
"018260","삼성에스디에스","116000","-1900","-1.61","8975825.0"
"010950","S-Oil","80100","400","0.50","9017882.0"
"259960","크래프톤","183500","4400","2.46","9035043.0"
"329180","현대중공업","100000","800","0.81","8877312.0"
"003490","대한항공","23200","-200","-0.85","8542719.0"
"316140","우리금융지주","11410","230","2.06","8307171.0"
"036570","엔씨소프트","371500","0","0.00","8155919.0"
"011170","롯데케미칼","190800","2200","1.17","8161550.0"
"024110","기업은행","10100","210","2.12","8054001.0"
"090430","아모레퍼시픽","136800","1100","0.81","8001809.0"
"352820","하이브","188900","900","0.48","7811655.0"
"030200","KT","29450","450","1.55","7689743.0"
"377300","카카오페이","55600","1500","2.77","7433052.0"
"138040","메리츠금융지주","38600","-1250","-3.14","6725848.0"
"011070","LG이노텍","270500","-500","-0.18","6401952.0"
"028050","삼성엔지니어링","31700","1350","4.45","6213200.0"
"086280","현대글로비스","158500","-200","-0.13","5943750.0"
"034220","LG디스플레이","16430","230","1.42","5878912.0"
"402340","SK스퀘어","39750","450","1.15","5623336.0"
"251270","넷마블","66300","2000","3.11","5698717.0"
"302440","SK바이오사이언스","72100","500","0.70","5536130.0"
"271560","오리온","136600","2000","1.49","5400636.0"
"009540","한국조선해양","77500","700","0.91","5484916.0"
"005830","DB손해보험","74900","400","0.54","5302920.0"
"383220","F&F","139500","1500","1.09","5343837.0"
"361610","SK아이이테크놀로지","71200","-300","-0.42","5076389.0"
"326030","SK바이오팜","63300","1200","1.93","4957229.0"
"097950","CJ제일제당","326000","7000","2.19","4907665.0"
"012450","한화에어로스페이스","99200","2600","2.69","5022496.0"
"032640","LG유플러스","10830","30","0.28","4728501.0"
"018880","한온시스템","8780","130","1.50","4686764.0"
"010140","삼성중공업","5170","80","1.57","4549600.0"
"267250","HD현대","58100","300","0.52","4589498.0"
"047810","한국항공우주","47400","550","1.17","4620320.0"
"004020","현대제철","34700","600","1.76","4630569.0"
"241560","두산밥캣","43700","1200","2.82","4380889.0"
"035250","강원랜드","19900","230","1.17","4257416.0"
"011790","SKC","114300","5200","4.77","4328346.0"
"011780","금호석유","143700","2000","1.41","4212467.0"
"161390","한국타이어앤테크놀로지","34800","850","2.50","4310852.0"
"000720","현대건설","36450","-100","-0.27","4058918.0"
"006800","미래에셋증권","6460","80","1.25","3910344.0"
"000100","유한양행","50600","500","1.00","3877916.0"
"047050","포스코인터내셔널","22300","800","3.72","3923078.0"
"021240","코웨이","52500","1000","1.94","3874480.0"
"008560","메리츠증권","6100","-200","-3.17","3751748.0"
"078930","GS","40400","350","0.87","3753781.0"
"029780","삼성카드","30400","100","0.33","3522110.0"
"008770","호텔신라","81500","800","0.99","3198722.0"
"020150","롯데에너지머티리얼즈","68800","2300","3.46","3172425.0"
"128940","한미약품","256000","2000","0.79","3215912.0"
"000990","DB하이텍","72300","11200","18.33","3210018.0"
"002790","아모레G","38500","200","0.52","3174640.0"
"001040","CJ","104300","3100","3.06","3043161.0"
"001450","현대해상","33800","200","0.60","3021720.0"
"003410","쌍용C&E","6170","180","3.01","3108814.0"
"004990","롯데지주","28750","350","1.23","3016141.0"
"028670","팬오션","5810","-20","-0.34","3105849.0"
"071050","한국금융지주","55000","300","0.55","3064930.0"
"112610","씨에스윈드","72900","-500","-0.68","3074295.0"
"180640","한진칼","45950","100","0.22","3067705.0"
"282330","BGF리테일","181700","1300","0.72","3140486.0"
"005940","NH투자증권","8800","50","0.57","2918660.0"
"007070","GS리테일","28350","150","0.53","2968753.0"
"139480","이마트","105600","900","0.86","2943686.0"
"052690","한전기술","75000","2200","3.02","2866500.0"
"016360","삼성증권","31700","500","1.60","2830810.0"
"008930","한미사이언스","38950","-500","-1.27","2724823.0"
"010620","현대미포조선","70200","600","0.86","2803939.0"
"064350","현대로템","25800","50","0.19","2815871.0"
"039490","키움증권","101000","3000","3.06","2648171.0"
"014680","한솔케미칼","239500","4500","1.91","2714779.0"
"006040","동원산업","51200","1200","2.40","2559112.0"
"006260","LS","79600","1100","1.40","2563120.0"
"272210","한화시스템","13860","630","4.76","2618423.0"
"042660","대우조선해양","24500","700","2.94","2628621.0"
"036460","한국가스공사","27100","-450","-1.63","2501682.0"
"004370","농심","379000","11500","3.13","2305321.0"
"023530","롯데쇼핑","81900","200","0.24","2316849.0"
"010060","OCI","102300","1000","0.99","2439791.0"
"030000","제일기획","18620","-110","-0.59","2142068.0"
"081660","휠라홀딩스","36500","900","2.53","2217456.0"
"336260","두산퓨얼셀","33550","-200","-0.59","2197315.0"
"204320","HL만도","45850","-150","-0.33","2152984.0"
"137310","에스디바이오센서","21100","200","0.96","2203945.0"
"000880","한화","26250","300","1.16","1967667.0"
"002380","KCC","222000","-1500","-0.67","1972797.0"
"004170","신세계","215500","500","0.23","2121637.0"
"138930","BNK금융지주","6510","110","1.72","2121838.0"
"088350","한화생명","2400","-10","-0.41","2084472.0"
"111770","영원무역","45650","0","0.00","2022819.0"
"012750","에스원","55300","100","0.18","2101355.0"
"000120","CJ대한통운","79900","800","1.01","1822706.0"
"001440","대한전선","1510","15","1.00","1879154.0"
"298050","효성첨단소재","432000","4000","0.93","1935338.0"
"026960","동서","19630","380","1.97","1957111.0"
"298020","효성티앤씨","443000","-7000","-1.56","1917163.0"
"007310","오뚜기","448000","7000","1.59","1795508.0"
"006360","GS건설","20650","-150","-0.72","1767258.0"
"010120","LS ELECTRIC","56500","200","0.36","1695000.0"
"175330","JB금융지주","8740","20","0.23","1721630.0"
"051600","한전KPS","37800","1000","2.72","1701000.0"
"047040","대우건설","4030","-70","-1.71","1674959.0"
"000080","하이트진로","22400","400","1.82","1570993.0"
"000150","두산","97900","100","0.10","1617683.0"
"004000","롯데정밀화학","58400","400","0.69","1506720.0"
"093370","후성","15690","-760","-4.62","1480385.0"
"011210","현대위아","56000","100","0.18","1522925.0"
"042670","현대두산인프라코어","7530","120","1.62","1489158.0"
"079550","LIG넥스원","72400","1400","1.97","1592800.0"
"005300","롯데칠성","164900","1200","0.73","1530088.0"
"004800","효성","67600","1300","1.96","1424401.0"
"005850","에스엘","27900","-550","-1.93","1295914.0"
"285130","SK케미칼","74500","200","0.27","1285407.0"
"017800","현대엘리베이","31700","2000","6.73","1293842.0"
