종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","53100","500","0.95","3.16995453E8"
"373220","LG에너지솔루션","426500","-13500","-3.07","9.9801E7"
"000660","SK하이닉스","83100","2300","2.85","6.0496997E7"
"207940","삼성바이오로직스","807000","-6000","-0.74","5.7437418E7"
"051910","LG화학","536000","-11000","-2.01","3.7837496E7"
"005380","현대차","176500","-5000","-2.75","3.7712435E7"
"006400","삼성SDI","546000","-20000","-3.53","3.7545433E7"
"035420","NAVER","193500","-3000","-1.53","3.1743498E7"
"000270","기아","71900","-2600","-3.49","2.9145625E7"
"035720","카카오","57100","1200","2.15","2.5427268E7"
"068270","셀트리온","175500","4500","2.63","2.4708972E7"
"028260","삼성물산","103500","-2000","-1.90","1.9342813E7"
"012330","현대모비스","191000","-6500","-3.29","1.8063461E7"
"105560","KB금융","43700","-550","-1.24","1.7868802E7"
"005490","POSCO홀딩스","211000","-8500","-3.87","1.784453E7"
"055550","신한지주","33500","-800","-2.33","1.7183293E7"
"034730","SK","192000","-3500","-1.79","1.4236671E7"
"096770","SK이노베이션","143500","-2500","-1.71","1.3268808E7"
"015760","한국전력","20100","400","2.03","1.2903478E7"
"066570","LG전자","78600","600","0.77","1.2862718E7"
"032830","삼성생명","62400","-300","-0.48","1.248E7"
"033780","KT&G","86600","-600","-0.69","1.188953E7"
"010130","고려아연","595000","14000","2.41","1.1818579E7"
"003550","LG","74000","-500","-0.67","1.1640273E7"
"003670","포스코케미칼","150000","-3000","-1.96","1.1619483E7"
"017670","SK텔레콤","50800","800","1.60","1.1116724E7"
"086790","하나금융지주","35450","-1050","-2.88","1.0489778E7"
"329180","현대중공업","115000","-1500","-1.29","1.0208908E7"
"259960","크래프톤","210000","4500","2.19","1.0305129E7"
"051900","LG생활건강","633000","-18000","-2.76","9886319.0"
"323410","카카오뱅크","20050","-550","-2.67","9556360.0"
"030200","KT","36200","650","1.83","9452247.0"
"010950","S-Oil","81000","300","0.37","9119206.0"
"034020","두산에너빌리티","14250","-50","-0.35","9095889.0"
"009830","한화솔루션","47200","850","1.83","9028345.0"
"011200","HMM","18500","-100","-0.54","9047231.0"
"018260","삼성에스디에스","115000","-2000","-1.71","8898447.0"
"000810","삼성화재","184000","-4500","-2.39","8716970.0"
"009150","삼성전기","112000","0","0.00","8365694.0"
"003490","대한항공","22100","0","0.00","8137677.0"
"316140","우리금융지주","10700","-250","-2.28","7790248.0"
"036570","엔씨소프트","346000","11500","3.44","7596092.0"
"024110","기업은행","9520","-100","-1.04","7085742.0"
"011070","LG이노텍","273500","-1500","-0.55","6472954.0"
"377300","카카오페이","49100","-150","-0.30","6512178.0"
"097950","CJ제일제당","411000","3500","0.86","6187270.0"
"302440","SK바이오사이언스","80300","-4200","-4.97","6165759.0"
"086280","현대글로비스","162500","-1000","-0.61","6093750.0"
"090430","아모레퍼시픽","102000","-3500","-3.32","5966261.0"
"352820","하이브","135000","3000","2.27","5582707.0"
"009540","한국조선해양","72900","-1400","-1.88","5159360.0"
"383220","F&F","137500","-5500","-3.85","5267223.0"
"035250","강원랜드","23550","-350","-1.46","5038299.0"
"402340","SK스퀘어","36150","400","1.12","5114053.0"
"011170","롯데케미칼","144000","-2000","-1.37","4935660.0"
"047810","한국항공우주","48450","-450","-0.92","4722669.0"
"032640","LG유플러스","10750","0","0.00","4693572.0"
"010140","삼성중공업","5310","-30","-0.56","4672800.0"
"028050","삼성엔지니어링","22750","800","3.64","4459000.0"
"326030","SK바이오팜","56900","-1300","-2.23","4456024.0"
"018880","한온시스템","8320","-760","-8.37","4441216.0"
"251270","넷마블","51300","-2200","-4.11","4409415.0"
"034220","LG디스플레이","12000","50","0.42","4293788.0"
"161390","한국타이어앤테크놀로지","35250","-450","-1.26","4366596.0"
"267250","HD현대","54100","-900","-1.64","4273526.0"
"010620","현대미포조선","103000","1500","1.48","4114041.0"
"000720","현대건설","37500","-350","-0.92","4175841.0"
"021240","코웨이","53900","-1800","-3.23","3977799.0"
"271560","오리온","103000","-2000","-1.90","4072222.0"
"000100","유한양행","54300","-700","-1.27","3976469.0"
"004990","롯데지주","38300","-450","-1.16","4018024.0"
"078930","GS","41700","-100","-0.24","3874571.0"
"005830","DB손해보험","55200","-1400","-2.47","3908160.0"
"004020","현대제철","28100","-850","-2.94","3749827.0"
"361610","SK아이이테크놀로지","52400","-2600","-4.73","3735994.0"
"006800","미래에셋증권","5980","-110","-1.81","3679592.0"
"029780","삼성카드","30200","-250","-0.82","3498939.0"
"011780","금호석유","115500","-500","-0.43","3499170.0"
"000060","메리츠화재","29500","-850","-2.80","3356599.0"
"011790","SKC","83900","-2100","-2.44","3177150.0"
"036460","한국가스공사","33800","-300","-0.88","3120179.0"
"012450","한화에어로스페이스","61500","-300","-0.49","3113745.0"
"005940","NH투자증권","8990","-30","-0.33","2981677.0"
"003410","쌍용C&E","5870","-210","-3.45","2957656.0"
"008770","호텔신라","71900","-600","-0.83","2821940.0"
"064350","현대로템","25300","-850","-3.25","2761300.0"
"282330","BGF리테일","165500","1500","0.91","2860486.0"
"241560","두산밥캣","28500","-250","-0.87","2857101.0"
"128940","한미약품","229000","-1000","-0.43","2820815.0"
"001450","현대해상","29300","-800","-2.66","2619420.0"
"007070","GS리테일","25600","-750","-2.85","2680779.0"
"016360","삼성증권","30750","-400","-1.28","2745975.0"
"138040","메리츠금융지주","20850","0","0.00","2659872.0"
"071050","한국금융지주","47500","-700","-1.45","2646985.0"
"137310","에스디바이오센서","26600","-550","-2.03","2747018.0"
"030000","제일기획","22700","-450","-1.94","2611436.0"
"047050","포스코인터내셔널","20900","-200","-0.95","2578541.0"
"180640","한진칼","37350","-2500","-6.27","2493553.0"
"112610","씨에스윈드","60700","-500","-0.82","2559804.0"
"008560","메리츠증권","3675","-60","-1.61","2350936.0"
"020150","일진머티리얼즈","50800","-1600","-3.05","2342430.0"
"139480","이마트","83900","-1400","-1.64","2338781.0"
"028670","팬오션","4500","-300","-6.25","2405563.0"
