종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","81400","-800","-0.97","4.859403E8"
"000660","SK하이닉스","132500","-2000","-1.49","9.6460313E7"
"035420","NAVER","377000","500","0.13","6.19273E7"
"051910","LG화학","805000","-3000","-0.37","5.6826836E7"
"207940","삼성바이오로직스","748000","1000","0.13","4.949142E7"
"005380","현대차","218000","-1500","-0.68","4.6579665E7"
"006400","삼성SDI","660000","-10000","-1.49","4.538459E7"
"035720","카카오","498000","4500","0.91","4.4195863E7"
"068270","셀트리온","324500","1000","0.31","4.3816499E7"
"000270","기아차","82900","-1400","-1.66","3.3604621E7"
"005490","POSCO","320000","-2500","-0.78","2.7899787E7"
"012330","현대모비스","292000","-6500","-2.18","2.7679583E7"
"051900","LG생활건강","1570000","-19000","-1.20","2.4520569E7"
"066570","LG전자","150000","-2000","-1.32","2.4547172E7"
"105560","KB금융","56200","1300","2.37","2.3368405E7"
"028260","삼성물산","124500","-1500","-1.19","2.3267442E7"
"017670","SK텔레콤","275000","6500","2.42","2.2205071E7"
"096770","SK이노베이션","219000","-4000","-1.79","2.0249959E7"
"034730","SK","282000","1000","0.36","1.9841604E7"
"055550","신한지주","37450","350","0.94","1.9346653E7"
"036570","엔씨소프트","873000","28000","3.31","1.9165861E7"
"003550","LG","90400","-1000","-1.09","1.5599165E7"
"032830","삼성생명","78100","-200","-0.26","1.562E7"
"018260","삼성에스디에스","193500","-1500","-0.77","1.4972604E7"
"090430","아모레퍼시픽","258500","-13500","-4.96","1.511152E7"
"015760","한국전력","23150","-100","-0.43","1.4861468E7"
"009150","삼성전기","187500","500","0.27","1.4005068E7"
"086790","하나금융지주","42800","1450","3.51","1.285036E7"
"003670","포스코케미칼","155000","500","0.32","1.2006799E7"
"033780","KT&G","81400","300","0.37","1.1175609E7"
"251270","넷마블","129000","2000","1.57","1.108629E7"
"011170","롯데케미칼","301000","0","0.00","1.0316901E7"
"011200","HMM","29000","900","3.20","9878798.0"
"009830","한화솔루션","50100","1450","2.98","9583053.0"
"009540","한국조선해양","133500","-1000","-0.74","9448211.0"
"018880","한온시스템","17650","-300","-1.67","9421570.0"
"003490","대한항공","27200","-150","-0.55","9460726.0"
"010950","S-Oil","81200","-1400","-1.69","9141723.0"
"000810","삼성화재","190000","1500","0.80","9001219.0"
"352820","빅히트","243000","500","0.21","8656574.0"
