종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","69600","-300","-0.43","4.15496865E8"
"373220","LG에너지솔루션","442000","1500","0.34","1.03428E8"
"000660","SK하이닉스","118000","-3000","-2.48","8.5904279E7"
"035420","NAVER","340500","1500","0.44","5.5858713E7"
"207940","삼성바이오로직스","827000","-17000","-2.01","5.4718455E7"
"035720","카카오","106500","0","0.00","4.7512088E7"
"006400","삼성SDI","596000","35000","6.24","4.098366E7"
"005380","현대차","180500","-500","-0.28","3.8567108E7"
"051910","LG화학","532000","7000","1.33","3.7555126E7"
"000270","기아","74000","300","0.41","2.9996888E7"
"005490","POSCO홀딩스","293000","3000","1.03","2.5545743E7"
"105560","KB금융","61300","1300","2.17","2.5277208E7"
"323410","카카오뱅크","51600","1300","2.58","2.4518217E7"
"068270","셀트리온","171500","-2500","-1.44","2.3659374E7"
"028260","삼성물산","114000","1000","0.88","2.1305127E7"
"055550","신한지주","41500","300","0.73","2.1438881E7"
"012330","현대모비스","215000","0","0.00","2.0333215E7"
"096770","SK이노베이션","215000","3500","1.65","1.9880096E7"
"066570","LG전자","120500","-500","-0.41","1.9719562E7"
"377300","카카오페이","148500","-1500","-1.00","1.9627106E7"
"034730","SK","242000","0","0.00","1.7944138E7"
"086790","하나금융지주","48600","150","0.31","1.4591764E7"
"015760","한국전력","22650","-50","-0.22","1.4540486E7"
"011200","HMM","29150","-150","-0.51","1.4255501E7"
"259960","크래프톤","275500","3000","1.10","1.3519348E7"
"051900","LG생활건강","858000","-5000","-0.58","1.3400413E7"
"032830","삼성생명","65900","1100","1.70","1.318E7"
"352820","하이브","309500","0","0.00","1.2798873E7"
"034020","두산중공업","20450","50","0.25","1.2389535E7"
"009150","삼성전기","165000","-1500","-0.90","1.232446E7"
"017670","SK텔레콤","56900","600","1.07","1.2451606E7"
"302440","SK바이오사이언스","157000","1000","0.64","1.20262E7"
"003550","LG","76400","1600","2.14","1.2017796E7"
"316140","우리금융지주","15350","150","0.99","1.1175729E7"
"033780","KT&G","80700","-200","-0.25","1.1079505E7"
"010130","고려아연","585000","9000","1.56","1.103895E7"
"010950","S-Oil","96700","-100","-0.10","1.0886756E7"
"018260","삼성에스디에스","138500","4000","2.97","1.0716825E7"
"329180","현대중공업","119500","2000","1.70","1.0608387E7"
"003490","대한항공","30200","50","0.17","1.0504189E7"
"000810","삼성화재","219000","11500","5.54","1.0375089E7"
"036570","엔씨소프트","467500","2500","0.54","1.0263505E7"
"251270","넷마블","111500","500","0.45","9583815.0"
"030200","KT","35700","1300","3.78","9321692.0"
"003670","포스코케미칼","120500","1000","0.84","9334318.0"
"090430","아모레퍼시픽","160000","0","0.00","9358841.0"
"011070","LG이노텍","387000","0","0.00","9159170.0"
"361610","SK아이이테크놀로지","126500","1500","1.20","9019145.0"
"024110","기업은행","10850","0","0.00","8075661.0"
"402340","SK스퀘어","56800","600","1.07","8035358.0"
"034220","LG디스플레이","20650","600","2.99","7388894.0"
"086280","현대글로비스","192500","1500","0.79","7218750.0"
"011170","롯데케미칼","209500","9500","4.75","7180700.0"
"326030","SK바이오팜","89800","-600","-0.66","7032530.0"
"009830","한화솔루션","35950","650","1.84","6876462.0"
"009540","한국조선해양","88900","-300","-0.34","6291730.0"
"018880","한온시스템","11800","-50","-0.42","6298840.0"
"032640","LG유플러스","14000","200","1.45","6112559.0"
"035250","강원랜드","27850","-50","-0.18","5958243.0"
"011790","SKC","154500","8000","5.46","5850652.0"
"004020","현대제철","41550","900","2.21","5544672.0"
"097950","CJ제일제당","369500","-4000","-1.07","5562522.0"
"138040","메리츠금융지주","40650","1600","4.10","5327235.0"
