종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","58200","0","0.00","3.47441344E8"
"000660","SK하이닉스","84000","1500","1.82","6.1152199E7"
"035420","NAVER","296500","-2000","-0.67","4.8704097E7"
"051910","LG화학","654000","28000","4.47","4.6167392E7"
"207940","삼성바이오로직스","690000","5000","0.73","4.565385E7"
"005380","현대차","178500","3000","1.71","3.8139771E7"
"068270","셀트리온","257500","2500","0.98","3.4760888E7"
"035720","카카오","364500","-4500","-1.22","3.2100859E7"
"006400","삼성SDI","433500","12500","2.97","2.9809424E7"
"051900","LG생활건강","1448000","-21000","-1.43","2.2615149E7"
"012330","현대모비스","230000","5000","2.22","2.186258E7"
"028260","삼성물산","105000","500","0.48","1.9623144E7"
"017670","SK텔레콤","238000","5000","2.15","1.9217479E7"
"000270","기아차","46900","1400","3.08","1.9011541E7"
"036570","엔씨소프트","806000","7000","0.88","1.7694942E7"
"005490","POSCO","196000","2000","1.03","1.708862E7"
"105560","KB금융","37550","-650","-1.70","1.5613587E7"
"066570","LG전자","91700","0","0.00","1.5006505E7"
"251270","넷마블","166000","-1000","-0.60","1.4247393E7"
"034730","SK","198500","1000","0.51","1.3966519E7"
"018260","삼성에스디에스","169500","-2000","-1.17","1.3115537E7"
"055550","신한지주","27600","100","0.36","1.3176153E7"
"015760","한국전력","20400","200","0.99","1.3096067E7"
"096770","SK이노베이션","139000","1000","0.72","1.2852713E7"
"003550","LG","74100","1100","1.51","1.2786483E7"
"326030","SK바이오팜","156500","1500","0.97","1.2256024E7"
"032830","삼성생명","61000","1100","1.84","1.22E7"
"033780","KT&G","82400","500","0.61","1.1312902E7"
"009150","삼성전기","139000","0","0.00","1.0382424E7"
"090430","아모레퍼시픽","164000","2500","1.55","9587192.0"
"000810","삼성화재","182000","2500","1.39","8622220.0"
"086790","하나금융지주","28100","350","1.26","8436802.0"
"010130","고려아연","376500","-3500","-0.92","7104555.0"
"011170","롯데케미칼","196500","500","0.26","6735120.0"
"018880","한온시스템","12350","350","2.92","6592430.0"
"009830","한화솔루션","38450","200","0.52","6146790.0"
"316140","우리금융지주","8580","150","1.78","6197057.0"
"030200","KT","22950","350","1.55","5992516.0"
"009540","한국조선해양","82700","2700","3.38","5852937.0"
"021240","코웨이","79300","-100","-0.13","5852310.0"
"097950","CJ제일제당","395000","1000","0.25","5946403.0"
"024110","기업은행","8010","100","1.26","5916702.0"
"010950","S-Oil","51600","600","1.18","5809272.0"
"006800","미래에셋대우","8480","50","0.59","5472283.0"
"034220","LG디스플레이","15350","250","1.66","5492471.0"
"086280","현대글로비스","144000","4000","2.86","5400000.0"
"271560","오리온","131000","-2000","-1.50","5179233.0"
"032640","LG유플러스","11500","350","3.14","5021031.0"
"003670","포스코케미칼","83800","2900","3.58","5110813.0"
"035250","강원랜드","21500","100","0.47","4599721.0"
"000100","유한양행","64200","500","0.78","4292207.0"
"180640","한진칼","68600","1000","1.48","4059093.0"
"000120","CJ대한통운","177500","5500","3.20","4049191.0"
"002790","아모레G","48900","600","1.24","4032205.0"
"139480","이마트","141500","0","0.00","3944428.0"
"071050","한국금융지주","72500","2500","3.57","4040134.0"
"161390","한국타이어앤테크놀로지","31500","100","0.32","3902065.0"
"008930","한미사이언스","58800","3700","6.72","3881456.0"
"011070","LG이노텍","155000","-500","-0.32","3668402.0"
"034020","두산중공업","13300","-200","-1.48","3366778.0"
"000720","현대건설","30450","400","1.33","3390783.0"
"267250","현대중공업지주","218000","7000","3.32","3444099.0"
"285130","SK케미칼","296500","7500","2.60","3481324.0"
"012750","에스원","87500","-200","-0.23","3324928.0"
"128940","한미약품","273500","6500","2.43","3239068.0"
"003490","대한항공","18850","50","0.27","3283853.0"
"004020","현대제철","24600","750","3.14","3282766.0"
"029780","삼성카드","28200","350","1.26","3267221.0"
"011780","금호석유","110000","4000","3.77","3351446.0"
"010140","삼성중공업","5330","110","2.11","3357900.0"
"005830","DB손해보험","45200","1000","2.26","3200160.0"
"011790","SKC","83000","2000","2.47","3115368.0"
"003410","쌍용양회","5870","0","0.00","2957656.0"
"026960","동서","29650","-300","-1.00","2956105.0"
"008770","호텔신라","76100","100","0.13","2986782.0"
"004990","롯데지주","28600","250","0.88","3000404.0"
"078930","GS","31000","50","0.16","2880377.0"
"000210","대림산업","77400","0","0.00","2693520.0"
"241560","두산밥캣","26900","500","1.89","2696703.0"
"016360","삼성증권","30600","1100","3.73","2732580.0"
"000080","하이트진로","36250","300","0.83","2542343.0"
"005940","NH투자증권","9140","60","0.66","2572077.0"
"042660","대우조선해양","23800","1000","4.39","2551497.0"
"007070","GS리테일","33500","750","2.29","2579500.0"
"006280","녹십자","221500","1000","0.45","2588568.0"
"030000","제일기획","20950","-150","-0.71","2410114.0"
"009240","한샘","107000","0","0.00","2518130.0"
"001040","CJ","81200","1200","1.50","2369172.0"
"036460","한국가스공사","24650","600","2.49","2275515.0"
"011200","HMM","7210","-70","-0.96","2355697.0"
