종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","46450","-1050","-2.21","2.98177632E8"
"000660","SK하이닉스","73100","-1900","-2.53","5.3216973E7"
"068270","셀트리온","297000","-4000","-1.33","3.7242583E7"
"207940","삼성바이오로직스","534000","-12000","-2.20","3.533211E7"
"005380","현대차","129500","-1000","-0.77","2.767003E7"
"051910","LG화학","365500","-4500","-1.22","2.5801501E7"
"005490","POSCO","294500","-11000","-3.60","2.5676523E7"
"028260","삼성물산","129500","-1500","-1.15","2.4564861E7"
"035420","NAVER","716000","3000","0.42","2.3601278E7"
"017670","SK텔레콤","282000","7000","2.55","2.2770291E7"
"105560","KB금융","54200","500","0.93","2.2661645E7"
"012330","현대모비스","228000","500","0.22","2.2194401E7"
"055550","신한지주","45000","400","0.90","2.1338981E7"
"034730","SK","287000","4500","1.59","2.0193405E7"
"051900","LG생활건강","1276000","-2000","-0.16","1.9928819E7"
"096770","SK이노베이션","215000","6500","3.12","1.9880096E7"
"032830","삼성생명","97300","1300","1.35","1.946E7"
"015760","한국전력","29350","400","1.38","1.8841646E7"
"018260","삼성에스디에스","231000","1000","0.43","1.7874272E7"
"006400","삼성SDI","258500","-2500","-0.96","1.7775631E7"
"010950","S-Oil","137000","1000","0.74","1.5423843E7"
"090430","아모레퍼시픽","261000","6000","2.35","1.5257666E7"
"000270","기아차","35100","-150","-0.43","1.4228253E7"
"033780","KT&G","104000","0","0.00","1.427842E7"
"086790","하나금융지주","44550","1150","2.65","1.3375784E7"
"000810","삼성화재","284000","11500","4.22","1.3454454E7"
"003550","LG","72600","200","0.28","1.2527648E7"
"066570","LG전자","71000","1400","2.01","1.1618995E7"
"000030","우리은행","16900","200","1.20","1.14244E7"
"009150","삼성전기","139000","-3000","-2.11","1.0382424E7"
"035720","카카오","119000","-1500","-1.24","9922776.0"
"251270","넷마블","115000","-3500","-2.95","9804463.0"
"036570","엔씨소프트","442500","4500","1.03","9708017.0"
"011170","롯데케미칼","278000","1000","0.36","9528566.0"
"009540","현대중공업","134500","0","0.00","9302750.0"
"024110","기업은행","15250","300","2.01","8539677.0"
"010130","고려아연","436000","-3500","-0.80","8227320.0"
"032640","LG유플러스","18300","550","3.10","7989988.0"
"030200","KT","30150","200","0.67","7872521.0"
"002790","아모레G","93300","300","0.32","7693348.0"
"004020","현대제철","56500","-800","-1.40","7539687.0"
"000720","현대건설","67500","100","0.15","7516514.0"
"034220","LG디스플레이","19100","-450","-2.30","6834280.0"
"018880","한온시스템","12650","200","1.61","6752570.0"
"004990","롯데지주","57100","2600","4.77","6655932.0"
"267250","현대중공업지주","405000","5500","1.38","6596080.0"
"021240","코웨이","86800","500","0.58","6405807.0"
"161390","한국타이어","50100","-200","-0.40","6206141.0"
"035250","강원랜드","28700","350","1.23","6140092.0"
"023530","롯데쇼핑","209500","-500","-0.24","5926494.0"
"139480","이마트","207500","10500","5.33","5784232.0"
"128940","한미약품","500000","2000","0.40","5692846.0"
"006800","미래에셋대우","8470","-80","-0.94","5575940.0"
"036460","한국가스공사","60700","-500","-0.82","5603399.0"
"008930","한미사이언스","87800","1300","1.50","5575236.0"
"010140","삼성중공업","8080","80","1.00","5090400.0"
"005830","DB손해보험","72800","1300","1.82","5154240.0"
"078930","GS","55100","1100","2.04","5119637.0"
"097950","CJ제일제당","333500","3000","0.91","5020571.0"
"086280","현대글로비스","130000","0","0.00","4875000.0"
"088350","한화생명","5290","70","1.34","4594524.0"
"029780","삼성카드","36800","200","0.55","4263607.0"
"008770","호텔신라","108500","-500","-0.46","4258421.0"
"271560","오리온","105500","-2500","-2.31","4170833.0"
"071050","한국금융지주","76100","900","1.20","4240748.0"
"241560","두산밥캣","40400","300","0.75","4050066.0"
"006360","GS건설","52300","900","1.75","4090426.0"
"005940","NH투자증권","14300","50","0.35","4024147.0"
"001040","CJ","135000","1000","0.75","3938895.0"
"001450","현대해상","41950","1100","2.69","3750330.0"
