종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","81000","2700","3.45","4.83552387E8"
"000660","SK하이닉스","118500","2500","2.16","8.626828E7"
"051910","LG화학","824000","11000","1.35","5.8168091E7"
"207940","삼성바이오로직스","826000","4000","0.49","5.465229E7"
"068270","셀트리온","359000","-1500","-0.42","4.8464212E7"
"035420","NAVER","292500","9500","3.36","4.8047043E7"
"006400","삼성SDI","628000","27000","4.49","4.3184125E7"
"005380","현대차","192000","1500","0.79","4.1024292E7"
"035720","카카오","389500","5000","1.30","3.4446039E7"
"028260","삼성물산","138000","1500","1.10","2.5790417E7"
"051900","LG생활건강","1620000","1000","0.06","2.5301479E7"
"000270","기아차","62400","100","0.16","2.5294673E7"
"012330","현대모비스","255500","4500","1.79","2.4286474E7"
"005490","POSCO","272000","2000","0.74","2.3714819E7"
"066570","LG전자","135000","3500","2.66","2.2092455E7"
"036570","엔씨소프트","931000","18000","1.97","2.0439194E7"
"017670","SK텔레콤","238000","500","0.21","1.9217479E7"
"105560","KB금융","43400","0","0.00","1.8046064E7"
"015760","한국전력","27400","1000","3.79","1.7589816E7"
"096770","SK이노베이션","190000","7000","3.83","1.7568457E7"
"034730","SK","240500","5000","2.12","1.6921651E7"
"055550","신한지주","32050","50","0.16","1.6554685E7"
"032830","삼성생명","79100","0","0.00","1.582E7"
"003550","LG","87500","1500","1.74","1.5098749E7"
"018260","삼성에스디에스","178500","1000","0.56","1.3811937E7"
"326030","SK바이오팜","169000","1000","0.60","1.3234939E7"
"009150","삼성전기","178000","1000","0.56","1.3295478E7"
"090430","아모레퍼시픽","206000","-500","-0.24","1.2042449E7"
"033780","KT&G","83100","-200","-0.24","1.1409007E7"
"251270","넷마블","131500","5500","4.37","1.1288657E7"
"086790","하나금융지주","34500","400","1.17","1.0358351E7"
"011170","롯데케미칼","276000","11500","4.35","9460016.0"
"000810","삼성화재","187500","-500","-0.27","8882782.0"
"018880","한온시스템","16250","300","1.88","8674250.0"
"010950","S-Oil","69200","1200","1.76","7790729.0"
"009540","한국조선해양","108500","1500","1.40","7678883.0"
"010130","고려아연","401500","-1500","-0.37","7576305.0"
"009830","한화솔루션","47900","400","0.84","7657509.0"
"086280","현대글로비스","184000","5000","2.79","6900000.0"
"316140","우리금융지주","9730","40","0.41","7027665.0"
"024110","기업은행","8840","-40","-0.45","6529793.0"
"019170","신풍제약","124000","3500","2.90","6570139.0"
"034220","LG디스플레이","18550","-50","-0.27","6637481.0"
"030200","KT","24000","-200","-0.83","6266683.0"
"003670","포스코케미칼","104000","-1000","-0.95","6342775.0"
"006800","미래에셋대우","9440","150","1.61","6091787.0"
"097950","CJ제일제당","381000","-2000","-0.52","5735645.0"
"352820","빅히트","160000","1500","0.95","5699802.0"
"021240","코웨이","72700","1100","1.54","5365232.0"
"032640","LG유플러스","11750","50","0.43","5130183.0"
"004020","현대제철","39600","100","0.25","5284453.0"
"000100","유한양행","75100","1200","1.62","5020946.0"
"035250","강원랜드","23500","50","0.21","5027602.0"
