종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","1134000","22000","1.98","1.67037448E8"
"005380","현대차","164000","2000","1.23","3.6125343E7"
"015760","한국전력","49000","-50","-0.10","3.145624E7"
"028260","삼성물산","146500","-500","-0.34","2.7789591E7"
"000660","SK하이닉스","33550","-800","-2.33","2.4424479E7"
"090430","아모레퍼시픽","385000","18500","5.05","2.2506519E7"
"012330","현대모비스","231500","9000","4.04","2.2535104E7"
"018260","삼성에스디에스","288000","11500","4.16","2.2284806E7"
"000270","기아차","53600","2100","4.08","2.1727475E7"
"017670","SK텔레콤","263000","1000","0.38","2.1236122E7"
"032830","삼성생명","98900","3100","3.24","1.978E7"
"055550","신한지주","41400","950","2.35","1.9631863E7"
"051910","LG화학","285500","18500","6.93","1.8920399E7"
"034730","SK","244000","2000","0.83","1.7167912E7"
"035420","NAVER","513000","5000","0.98","1.6909854E7"
"033780","KT&G","111500","6000","5.69","1.5308113E7"
"005490","POSCO","168500","-3000","-1.75","1.4690982E7"
"105560","KB금융","35250","600","1.73","1.3618897E7"
"051900","LG생활건강","854000","29000","3.52","1.333794E7"
"000810","삼성화재","280000","7500","2.75","1.3264954E7"
"002790","아모레G","163000","6000","3.82","1.300593E7"
"003550","LG","60900","1200","2.01","1.0508729E7"
"011170","롯데케미칼","270000","8000","3.05","9254363.0"
"023530","롯데쇼핑","285500","4500","1.60","8990650.0"
"035250","강원랜드","42300","-350","-0.82","9049683.0"
"096770","SK이노베이션","98000","2000","2.08","9061625.0"
"010130","고려아연","465500","-10500","-2.21","8783985.0"
"086280","현대글로비스","224000","4500","2.05","8400000.0"
"034220","LG디스플레이","22650","-100","-0.44","8104526.0"
"030200","KT","30700","700","2.33","8016133.0"
"086790","하나금융지주","26400","100","0.38","7814481.0"
"001040","CJ","264000","-500","-0.19","7689857.0"
"024110","기업은행","13600","150","1.12","7567067.0"
"066570","LG전자","45650","850","1.90","7470523.0"
"006400","삼성SDI","108500","3500","3.33","7460952.0"
"009540","현대중공업","96500","-1000","-1.03","7334000.0"
"088350","한화생명","8160","140","1.75","7087205.0"
"010950","S-Oil","62600","1000","1.62","7047683.0"
"004020","현대제철","51500","300","0.59","6872458.0"
"009240","한샘","285500","-2000","-0.70","6718936.0"
"047810","한국항공우주","67900","-5100","-6.99","6618560.0"
"021240","코웨이","83700","400","0.48","6455345.0"
"139480","이마트","230500","4500","1.99","6425376.0"
"000030","우리은행","9390","210","2.29","6350254.0"
"001800","오리온","942000","13000","1.40","5629156.0"
"051600","한전KPS","121000","4000","3.42","5445000.0"
"032640","LG유플러스","12100","450","3.86","5282997.0"
"097950","CJ제일제당","380500","9000","2.42","5006694.0"
"161390","한국타이어","39600","-450","-1.12","4905453.0"
"009150","삼성전기","64300","500","0.78","4802805.0"
"007070","GS리테일","61000","1700","2.87","4697000.0"
"008770","호텔신라","115000","-500","-0.43","4513534.0"
"000120","CJ대한통운","199500","6000","3.10","4551063.0"
"002380","KCC","413000","-500","-0.12","4344760.0"
"005830","동부화재","61300","2200","3.72","4340040.0"
